Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is wider, and thus has more [MASK], Room Divider or Gaming Table
",width,flexibility,complexity,flexible,efficient,nodes
"Which is wider, and thus has more [MASK], Room Divider or garden furniture
",width,flexible,furniture,flexibility,decorative,space
"Which is wider, and thus has more [MASK], Room Divider or giant furniture
",width,flexible,flexibility,furniture,efficient,compact
"Which is wider, and thus has more [MASK], Room Divider or Guangzhou-style furniture
",width,expensive,ornate,flexible,decorative,compact
"Which is wider, and thus has more [MASK], Room Divider or hanger floor
",width,flexibility,flexible,space,seats,room
"Which is wider, and thus has more [MASK], Room Divider or home apothecary
",width,flexibility,efficient,stable,flexible,room
"Which is wider, and thus has more [MASK], Room Divider or keeps food
",width,flexibility,food,space,room,meat
"Which is wider, and thus has more [MASK], Room Divider or kitchen sink
",width,kitchen,efficient,flexibility,sinks,room
"Which is wider, and thus has more [MASK], Room Divider or knickknacks shelf
",width,flexibility,curves,edges,depth,layers
"Which is wider, and thus has more [MASK], Room Divider or lacquered furniture
",width,decorative,ornate,elaborate,rounded,flexible
"Which is wider, and thus has more [MASK], Room Divider or Lazy Susan
",width,flexibility,edges,layers,pronounced,symmetry
"Which is wider, and thus has more [MASK], Room Divider or leather furniture
",width,flexible,lightweight,leather,expensive,flexibility
"Which is wider, and thus has more [MASK], Room Divider or library steps
",width,flexibility,efficient,flexible,convenient,storage
"Which is wider, and thus has more [MASK], Room Divider or Library Table
",width,flexibility,complexity,flexible,efficient,nodes
"Which is wider, and thus has more [MASK], Room Divider or Linen Press
",width,flexibility,dimensions,depth,layers,dimension
"Which is wider, and thus has more [MASK], Room Divider or litter box
",width,compact,flexibility,space,storage,efficient
"Which is wider, and thus has more [MASK], Room Divider or liturgical furniture
",width,elaborate,decorative,flexible,ornate,rounded
"Which is wider, and thus has more [MASK], Room Divider or low cabinet
",width,flexibility,depth,efficient,flexible,compact
"Which is wider, and thus has more [MASK], Room Divider or Macquarie Chest
",width,flexibility,nodes,depth,edges,pronounced
"Which is wider, and thus has more [MASK], Room Divider or magazine rack
",width,flexibility,flexible,storage,compact,space
"Which is wider, and thus has more [MASK], Room Divider or Marriage Chest
",width,flexibility,depth,nodes,edges,pronounced
"Which is wider, and thus has more [MASK], Room Divider or Mechanical table
",width,flexibility,convenient,efficient,detail,complicated
"Which is wider, and thus has more [MASK], Room Divider or Medal cabinet
",width,flexibility,efficient,flexible,options,detail
"Which is wider, and thus has more [MASK], Room Divider or Mesa Consolo
",width,flexibility,dimensions,dimension,depth,curves
"Which is wider, and thus has more [MASK], Room Divider or Mesa Criado-Mudo
",width,flexibility,complexity,dimensions,subdivisions,options
"Which is wider, and thus has more [MASK], Room Divider or Mesa Infantil
",width,flexibility,complexity,depth,curves,edges
"Which is wider, and thus has more [MASK], Room Divider or Mesa Lavatório
",width,flexibility,dimensions,subdivisions,complexity,options
"Which is wider, and thus has more [MASK], Room Divider or Mesa: Criado-Mudo
",width,flexibility,subdivisions,edges,options,branches
"Which is wider, and thus has more [MASK], Room Divider or Ming-style furniture
",width,ornate,expensive,flexible,decorative,elaborate
"Which is wider, and thus has more [MASK], Room Divider or mobile shelving
",width,flexibility,flexible,efficient,compact,robust
"Which is wider, and thus has more [MASK], Room Divider or Mobilio Biblioteca
",width,rooms,seats,spacious,space,facilities
"Which is wider, and thus has more [MASK], Room Divider or Namban screen
",width,flexibility,flexible,screens,efficient,depth
"Which is wider, and thus has more [MASK], Room Divider or office furniture
",width,furniture,expensive,space,flexibility,room
"Which is wider, and thus has more [MASK], Room Divider or Ornamental Panel
",width,pronounced,flexibility,rounded,flexible,complicated
"Which is wider, and thus has more [MASK], Room Divider or Overmantel Mirror
",width,flexibility,complexity,modules,detail,layers
"Which is wider, and thus has more [MASK], Room Divider or park furniture
",width,space,spacious,seating,spaces,flexibility
"Which is wider, and thus has more [MASK], Room Divider or patent furniture
",width,flexibility,expensive,flexible,efficient,detail
"Which is wider, and thus has more [MASK], Room Divider or Pier Mirror
",width,flexibility,depth,edges,curves,dimensions
"Which is wider, and thus has more [MASK], Room Divider or Pier table
",width,flexibility,detail,efficient,dimensions,edges
"Which is wider, and thus has more [MASK], Room Divider or pilgrim furniture
",width,elaborate,flexibility,spacious,space,decoration
"Which is wider, and thus has more [MASK], Room Divider or plastic furniture
",width,flexible,lightweight,plastic,compact,expensive
"Which is wider, and thus has more [MASK], Room Divider or portable counter
",width,efficient,flexible,portable,flexibility,convenient
"Which is wider, and thus has more [MASK], Room Divider or Preguiceiro Infantil
",width,flexibility,depth,seats,branches,options
"Which is wider, and thus has more [MASK], Room Divider or Prestige Chair
",width,flexibility,subdivisions,dimensions,depth,dimension
"Which is wider, and thus has more [MASK], Room Divider or Provençal breadbox
",width,flexibility,flexible,compact,efficient,convenient
"Which is wider, and thus has more [MASK], Room Divider or ready-to-assemble furniture
",width,flexible,flexibility,compact,lightweight,expensive
"Which is wider, and thus has more [MASK], Room Divider or Rolltop desk
",width,flexibility,flexible,efficient,compact,rounded
"Which is wider, and thus has more [MASK], Room Divider or room divider
",width,flexibility,room,efficient,space,depth
"Which is wider, and thus has more [MASK], Room Divider or Rotated Rectangle
",width,rounded,curved,pronounced,flexible,convex
"Which is wider, and thus has more [MASK], Room Divider or Round table
",width,flexibility,efficient,detail,complicated,convenient
"Which is wider, and thus has more [MASK], Room Divider or roundback armchair
",width,rounded,flexible,compact,robust,comfortable
"Which is wider, and thus has more [MASK], Room Divider or rustic furniture
",width,spacious,decorative,ornate,elaborate,compact
"Which is wider, and thus has more [MASK], Room Divider or Sankheda furniture
",width,flexibility,symmetry,edges,curves,squares
"Which is wider, and thus has more [MASK], Room Divider or school furniture
",width,classrooms,flexibility,furniture,room,seating
"Which is wider, and thus has more [MASK], Room Divider or secretary desk
",width,flexibility,offices,room,seats,staff
"Which is wider, and thus has more [MASK], Room Divider or sex furniture
",width,flexibility,flexible,depth,curves,fluid
"Which is wider, and thus has more [MASK], Room Divider or Shanghai-style furniture
",width,expensive,ornate,flexible,decorative,elaborate
"Which is wider, and thus has more [MASK], Room Divider or shop furniture
",width,flexibility,furniture,shops,room,convenient
"Which is wider, and thus has more [MASK], Room Divider or shop shelve
",width,flexibility,shops,convenient,options,efficient
"Which is wider, and thus has more [MASK], Room Divider or Side Chair
",width,flexibility,edges,curves,depth,nodes
"Which is wider, and thus has more [MASK], Room Divider or Snuff Tablet
",width,flexibility,depth,edges,layers,pronounced
"Which is wider, and thus has more [MASK], Room Divider or Spindle-back armchair
",width,flexible,flexibility,rounded,comfortable,slender
"Which is wider, and thus has more [MASK], Room Divider or Spoon racks
",width,flexible,spacious,compact,efficient,flexibility
"Which is wider, and thus has more [MASK], Room Divider or Standing aid
",width,flexibility,flexible,efficient,robust,complexity
"Which is wider, and thus has more [MASK], Room Divider or street furniture
",width,flexibility,space,furniture,expensive,room
"Which is wider, and thus has more [MASK], Room Divider or support furniture
",width,flexibility,flexible,space,support,robust
"Which is wider, and thus has more [MASK], Room Divider or Suzhou-style furniture
",width,ornate,expensive,luxurious,elaborate,elegant
"Which is wider, and thus has more [MASK], Room Divider or Table Desk
",width,flexibility,complexity,detail,functionality,options
"Which is wider, and thus has more [MASK], Room Divider or table toilet
",width,flexibility,seating,seats,room,space
"Which is wider, and thus has more [MASK], Room Divider or Tall-case Clock
",width,flexible,flexibility,compact,robust,rounded
"Which is wider, and thus has more [MASK], Room Divider or Tall Clock
",width,flexibility,flexible,edges,nodes,curves
"Which is wider, and thus has more [MASK], Room Divider or Tambour Desk
",width,flexibility,depth,edges,dimensions,curves
"Which is wider, and thus has more [MASK], Room Divider or Tea Table
",width,flexibility,nodes,edges,depth,layers
"Which is wider, and thus has more [MASK], Room Divider or teacher's desk
",width,flexibility,room,classrooms,space,seats
"Which is wider, and thus has more [MASK], Room Divider or tool board
",width,flexibility,flexible,tools,detail,functionality
"Which is wider, and thus has more [MASK], Room Divider or towel rack
",width,flexibility,flexible,convenient,room,lightweight
"Which is wider, and thus has more [MASK], Room Divider or Tripod Brazier
",width,flexibility,curves,dimensions,depth,edges
"Which is wider, and thus has more [MASK], Room Divider or Ulm stool
",width,flexibility,edges,curves,nodes,depth
"Which is wider, and thus has more [MASK], Room Divider or umbrella holder
",width,flexibility,flexible,scope,efficient,compact
"Which is wider, and thus has more [MASK], Room Divider or UP series
",width,efficient,flexibility,compact,flexible,complicated
"Which is wider, and thus has more [MASK], Room Divider or Wall Bracket
",width,flexibility,depth,complexity,efficient,options
"Which is wider, and thus has more [MASK], Room Divider or Wall Clock
",width,flexibility,nodes,edges,curves,layers
"Which is wider, and thus has more [MASK], Room Divider or wall rack
",width,flexibility,flexible,space,room,storage
"Which is wider, and thus has more [MASK], Room Divider or Waterfall furniture
",width,flexibility,flexible,efficient,compact,detail
"Which is wider, and thus has more [MASK], Room Divider or Wooden Casket
",width,flexibility,depth,dimensions,curves,edges
"Which is wider, and thus has more [MASK], Room Divider or Work Table
",width,flexibility,complexity,nodes,depth,layers
"Which is wider, and thus has more [MASK], Room Divider or worship furniture
",width,flexibility,space,elaborate,seating,simplicity
"Which is wider, and thus has more [MASK], Room Divider or Writing table
",width,flexibility,convenient,detail,efficient,complicated
"Which is wider, and thus has more [MASK], Room Divider or Yokeback Armchair
",width,flexibility,curves,flexible,rounded,robust
"Which is wider, and thus has more [MASK], Wisteria Lamp or Room Divider
",width,branches,dense,fruit,common,flowers
"Which is wider, and thus has more [MASK], Wisteria Lamp or Dressing Cabinet
",width,pronounced,common,dense,fruit,frequent
"Which is wider, and thus has more [MASK], Wisteria Lamp or Abbot's Stall
",width,flowers,branches,foliage,common,fruit
"Which is wider, and thus has more [MASK], Wisteria Lamp or Abbotsford style
",width,elaborate,ornate,pronounced,mature,decorative
"Which is wider, and thus has more [MASK], Wisteria Lamp or ancient furniture
",width,ornate,elaborate,decorative,expensive,furniture
"Which is wider, and thus has more [MASK], Wisteria Lamp or Animal furniture
",width,expensive,dense,decorative,flexible,compact
"Which is wider, and thus has more [MASK], Wisteria Lamp or antique furniture
",width,expensive,ornate,furniture,modern,luxurious
"Which is wider, and thus has more [MASK], Wisteria Lamp or Arca Bau
",width,branches,flowers,fruit,trees,vegetation
"Which is wider, and thus has more [MASK], Wisteria Lamp or Arca Canastra
",width,branches,flowers,foliage,fruit,trees
"Which is wider, and thus has more [MASK], Wisteria Lamp or architectural furniture
",width,expensive,decorative,ornate,furniture,elaborate
"Which is wider, and thus has more [MASK], Wisteria Lamp or Armário Armário-Estante
",width,branches,varieties,fruit,vegetation,variety
"Which is wider, and thus has more [MASK], Wisteria Lamp or Armário Guarda-Comida
",width,branches,fruit,varieties,flowers,vegetation
"Which is wider, and thus has more [MASK], Wisteria Lamp or Armário Guarda-Louça
",width,branches,vegetation,varieties,trees,fruit
"Which is wider, and thus has more [MASK], Wisteria Lamp or Armário Guarda-Roupa
",width,branches,vegetation,trees,varieties,fruit
"Which is wider, and thus has more [MASK], Wisteria Lamp or Armário Vitrina-Armário
",width,branches,vegetation,trees,varieties,beaches
"Which is wider, and thus has more [MASK], Wisteria Lamp or Armário Vitrine
",width,tissue,fruit,complications,soluble,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Armário: Guarda-Roupa
",width,branches,varieties,trees,vegetation,beaches
"Which is wider, and thus has more [MASK], Wisteria Lamp or Baby furniture
",width,expensive,dense,flexible,compact,decorative
"Which is wider, and thus has more [MASK], Wisteria Lamp or Bed tables
",width,common,dense,frequent,pronounced,convenient
"Which is wider, and thus has more [MASK], Wisteria Lamp or beer tap
",width,beer,fruit,expensive,alcohol,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Beijing-style furniture
",width,expensive,ornate,decorative,luxurious,elaborate
"Which is wider, and thus has more [MASK], Wisteria Lamp or book chest
",width,dense,expensive,spines,flexible,storage
"Which is wider, and thus has more [MASK], Wisteria Lamp or Bureau table
",width,common,dense,frequent,depth,pronounced
"Which is wider, and thus has more [MASK], Wisteria Lamp or campaign furniture
",width,expensive,efficient,affordable,common,flexible
"Which is wider, and thus has more [MASK], Wisteria Lamp or Candle Bracket
",width,fruit,branches,flowers,varieties,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Candle Stand
",width,branches,dense,flowers,pronounced,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Card table
",width,common,dense,frequent,convenient,depth
"Which is wider, and thus has more [MASK], Wisteria Lamp or Center Table
",width,dense,common,pronounced,fruit,flowers
"Which is wider, and thus has more [MASK], Wisteria Lamp or chair back
",width,flexible,flexibility,seating,seats,comfortable
"Which is wider, and thus has more [MASK], Wisteria Lamp or chaise longue
",width,flowers,fruit,foliage,branches,varieties
"Which is wider, and thus has more [MASK], Wisteria Lamp or cheval glass
",width,expensive,glass,decoration,decorative,ornate
"Which is wider, and thus has more [MASK], Wisteria Lamp or choir screen
",width,rounded,spacious,flexible,ornate,elaborate
"Which is wider, and thus has more [MASK], Wisteria Lamp or church shelf
",width,dense,spacious,flowers,common,elaborate
"Which is wider, and thus has more [MASK], Wisteria Lamp or Clothes valet
",width,flowers,branches,foliage,fruit,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Cofre Portátil
",width,branches,varieties,fruit,flowers,trees
"Which is wider, and thus has more [MASK], Wisteria Lamp or Coin cabinet
",width,common,expensive,flexibility,dense,pronounced
"Which is wider, and thus has more [MASK], Wisteria Lamp or Console Table
",width,fruit,dense,flowers,branches,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Corner Cabinet
",width,dense,common,fruit,flowers,pronounced
"Which is wider, and thus has more [MASK], Wisteria Lamp or Corner Cabinet
",width,dense,common,fruit,flowers,pronounced
"Which is wider, and thus has more [MASK], Wisteria Lamp or Corner chair
",width,common,flexible,expensive,dense,flexibility
"Which is wider, and thus has more [MASK], Wisteria Lamp or Coromandel lacquer
",width,flowers,fruit,dense,resistant,varieties
"Which is wider, and thus has more [MASK], Wisteria Lamp or cue stand
",width,flexible,flexibility,convenient,depth,dense
"Which is wider, and thus has more [MASK], Wisteria Lamp or Curule Chair
",width,branches,fruit,flowers,dense,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or cylinder desk
",width,flexible,compact,robust,diameter,expensive
"Which is wider, and thus has more [MASK], Wisteria Lamp or day bed
",width,fruit,dense,flowers,frequent,beds
"Which is wider, and thus has more [MASK], Wisteria Lamp or dresser-litter bin
",width,dense,common,mature,compact,frequent
"Which is wider, and thus has more [MASK], Wisteria Lamp or Drop-front desk
",width,expensive,flexible,spacious,compact,efficient
"Which is wider, and thus has more [MASK], Wisteria Lamp or Drop-front secretary
",width,pronounced,flexibility,expensive,efficient,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Easy Chair
",width,dense,common,pronounced,fruit,resistant
"Which is wider, and thus has more [MASK], Wisteria Lamp or entertainment center
",width,amenities,restaurants,shops,spacious,facilities
"Which is wider, and thus has more [MASK], Wisteria Lamp or Escrivaninha Cômoda-Escrivaninha
",width,branches,flowers,vegetation,varieties,trees
"Which is wider, and thus has more [MASK], Wisteria Lamp or Escrivaninha Portátil
",width,vegetation,branches,flowers,trees,foliage
"Which is wider, and thus has more [MASK], Wisteria Lamp or Estante Infantil
",width,flowers,fruit,branches,foliage,varieties
"Which is wider, and thus has more [MASK], Wisteria Lamp or Fall-front Secretary
",width,pronounced,flexible,dense,rounded,robust
"Which is wider, and thus has more [MASK], Wisteria Lamp or Flower Stand
",width,flowers,dense,fruit,branches,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or folding stool
",width,flexible,flexibility,dense,pronounced,rounded
"Which is wider, and thus has more [MASK], Wisteria Lamp or foot shelf
",width,dense,branches,slender,spines,flexible
"Which is wider, and thus has more [MASK], Wisteria Lamp or four-poster bed
",width,compact,dense,narrow,slender,spacious
"Which is wider, and thus has more [MASK], Wisteria Lamp or furniture component
",width,expensive,furniture,decorative,flexible,plastic
"Which is wider, and thus has more [MASK], Wisteria Lamp or Gallery Structure
",width,dense,common,pronounced,mature,fruit
"Which is wider, and thus has more [MASK], Wisteria Lamp or Gaming Table
",width,dense,common,pronounced,fruit,tissue
"Which is wider, and thus has more [MASK], Wisteria Lamp or garden furniture
",width,dense,floral,expensive,decorative,flowers
"Which is wider, and thus has more [MASK], Wisteria Lamp or giant furniture
",width,expensive,dense,furniture,ornate,colorful
"Which is wider, and thus has more [MASK], Wisteria Lamp or Guangzhou-style furniture
",width,expensive,ornate,decorative,elaborate,luxurious
"Which is wider, and thus has more [MASK], Wisteria Lamp or hanger floor
",width,flexible,flexibility,comfortable,expensive,decorative
"Which is wider, and thus has more [MASK], Wisteria Lamp or home apothecary
",width,common,flowers,branches,expensive,beds
"Which is wider, and thus has more [MASK], Wisteria Lamp or keeps food
",width,fruit,dense,vegetables,nutrients,food
"Which is wider, and thus has more [MASK], Wisteria Lamp or kitchen sink
",width,kitchen,expensive,efficient,convenient,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or knickknacks shelf
",width,flowers,branches,fruit,dense,foliage
"Which is wider, and thus has more [MASK], Wisteria Lamp or lacquered furniture
",width,decorative,expensive,dense,ornate,elaborate
"Which is wider, and thus has more [MASK], Wisteria Lamp or Lazy Susan
",width,dense,common,pronounced,flowers,tissue
"Which is wider, and thus has more [MASK], Wisteria Lamp or leather furniture
",width,expensive,flexible,decorative,luxurious,lightweight
"Which is wider, and thus has more [MASK], Wisteria Lamp or library steps
",width,accessible,convenient,efficient,expensive,flexible
"Which is wider, and thus has more [MASK], Wisteria Lamp or Library Table
",width,dense,common,pronounced,fruit,tissue
"Which is wider, and thus has more [MASK], Wisteria Lamp or Linen Press
",width,dense,branches,fruit,common,pronounced
"Which is wider, and thus has more [MASK], Wisteria Lamp or litter box
",width,dense,compact,flowers,mature,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or liturgical furniture
",width,ornate,decorative,elaborate,expensive,floral
"Which is wider, and thus has more [MASK], Wisteria Lamp or low cabinet
",width,dense,expensive,pronounced,thick,compact
"Which is wider, and thus has more [MASK], Wisteria Lamp or Macquarie Chest
",width,dense,common,fruit,flowers,pronounced
"Which is wider, and thus has more [MASK], Wisteria Lamp or magazine rack
",width,flexible,compact,expensive,lightweight,plastic
"Which is wider, and thus has more [MASK], Wisteria Lamp or Marriage Chest
",width,dense,common,pronounced,fruit,flowers
"Which is wider, and thus has more [MASK], Wisteria Lamp or Mechanical table
",width,common,dense,convenient,frequent,pronounced
"Which is wider, and thus has more [MASK], Wisteria Lamp or Medal cabinet
",width,expensive,common,efficient,compact,flexibility
"Which is wider, and thus has more [MASK], Wisteria Lamp or Mesa Consolo
",width,branches,varieties,trees,fruit,flowers
"Which is wider, and thus has more [MASK], Wisteria Lamp or Mesa Criado-Mudo
",width,varieties,branches,fruit,variety,trees
"Which is wider, and thus has more [MASK], Wisteria Lamp or Mesa Infantil
",width,fruit,flowers,dense,branches,varieties
"Which is wider, and thus has more [MASK], Wisteria Lamp or Mesa Lavatório
",width,branches,varieties,vegetation,trees,fruit
"Which is wider, and thus has more [MASK], Wisteria Lamp or Mesa: Criado-Mudo
",width,varieties,branches,pronounced,variety,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Ming-style furniture
",width,expensive,ornate,decorative,elaborate,luxurious
"Which is wider, and thus has more [MASK], Wisteria Lamp or mobile shelving
",width,flexible,efficient,compact,expensive,dense
"Which is wider, and thus has more [MASK], Wisteria Lamp or Mobilio Biblioteca
",width,branches,rooms,variety,spacious,varieties
"Which is wider, and thus has more [MASK], Wisteria Lamp or Namban screen
",width,dense,flexible,expensive,pronounced,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or office furniture
",width,expensive,furniture,luxurious,spacious,decorative
"Which is wider, and thus has more [MASK], Wisteria Lamp or Ornamental Panel
",width,pronounced,common,characteristic,distinct,dense
"Which is wider, and thus has more [MASK], Wisteria Lamp or Overmantel Mirror
",width,dense,pronounced,common,varieties,branches
"Which is wider, and thus has more [MASK], Wisteria Lamp or park furniture
",width,dense,trees,lawn,mature,bushes
"Which is wider, and thus has more [MASK], Wisteria Lamp or patent furniture
",width,expensive,flexible,efficient,common,compact
"Which is wider, and thus has more [MASK], Wisteria Lamp or Pier Mirror
",width,dense,fruit,pronounced,flowers,common
"Which is wider, and thus has more [MASK], Wisteria Lamp or Pier table
",width,common,dense,frequent,pronounced,depth
"Which is wider, and thus has more [MASK], Wisteria Lamp or pilgrim furniture
",width,flowers,expensive,dense,elaborate,fruit
"Which is wider, and thus has more [MASK], Wisteria Lamp or plastic furniture
",width,expensive,plastic,flexible,lightweight,compact
"Which is wider, and thus has more [MASK], Wisteria Lamp or portable counter
",width,expensive,efficient,flexible,convenient,compact
"Which is wider, and thus has more [MASK], Wisteria Lamp or Preguiceiro Infantil
",width,fruit,varieties,branches,flowers,vegetation
"Which is wider, and thus has more [MASK], Wisteria Lamp or Prestige Chair
",width,dense,pronounced,branches,common,flowers
"Which is wider, and thus has more [MASK], Wisteria Lamp or Provençal breadbox
",width,dense,fruit,expensive,common,flexible
"Which is wider, and thus has more [MASK], Wisteria Lamp or ready-to-assemble furniture
",width,expensive,flexible,compact,lightweight,efficient
"Which is wider, and thus has more [MASK], Wisteria Lamp or Rolltop desk
",width,dense,expensive,common,pronounced,compact
