Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is more nutritious, and thus more [MASK], blood or fit-fit
",healthy,healthy,expensive,reliable,fat,protein
"Which is more nutritious, and thus more [MASK], boyoz or brain
",healthy,healthy,expensive,robust,refined,sweet
"Which is more nutritious, and thus more [MASK], boyoz or fit-fit
",healthy,healthy,expensive,desirable,energetic,refined
"Which is more nutritious, and thus more [MASK], brain or Abacha
",healthy,healthy,productive,robust,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Ada
",healthy,healthy,robust,productive,flexible,sensitive
"Which is more nutritious, and thus more [MASK], brain or adobo
",healthy,healthy,productive,robust,expensive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Aila
",healthy,healthy,robust,productive,sensitive,fertile
"Which is more nutritious, and thus more [MASK], brain or Ajethna
",healthy,healthy,productive,fertile,robust,intelligent
"Which is more nutritious, and thus more [MASK], brain or ajvar
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Akara
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Akumaki
",healthy,healthy,productive,robust,expensive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Albacore
",healthy,healthy,robust,productive,expensive,protein
"Which is more nutritious, and thus more [MASK], brain or Alfajor
",healthy,healthy,robust,productive,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Alicot
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Alkaki
",healthy,healthy,productive,robust,intelligent,expensive
"Which is more nutritious, and thus more [MASK], brain or Aluwa
",healthy,healthy,productive,robust,intelligent,fertile
"Which is more nutritious, and thus more [MASK], brain or Amala
",healthy,healthy,robust,productive,sensitive,fertile
"Which is more nutritious, and thus more [MASK], brain or Amiedi
",healthy,healthy,productive,robust,intelligent,fertile
"Which is more nutritious, and thus more [MASK], brain or Amlu
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or ampyang
",healthy,healthy,robust,sensitive,productive,expensive
"Which is more nutritious, and thus more [MASK], brain or Angoori
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Anmaki
",healthy,healthy,productive,robust,intelligent,expensive
"Which is more nutritious, and thus more [MASK], brain or Apas
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Asham
",healthy,healthy,robust,productive,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Asun
",healthy,healthy,productive,robust,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Attar
",healthy,healthy,productive,robust,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or aush
",healthy,healthy,productive,robust,expensive,fertile
"Which is more nutritious, and thus more [MASK], brain or Avgolemono
",healthy,healthy,productive,expensive,robust,intelligent
"Which is more nutritious, and thus more [MASK], brain or Awameh
",healthy,healthy,productive,fertile,refined,robust
"Which is more nutritious, and thus more [MASK], brain or Bánh
",healthy,healthy,robust,productive,sensitive,fertile
"Which is more nutritious, and thus more [MASK], brain or Baati
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Bacone
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or baeksuk
",healthy,healthy,productive,robust,intelligent,expensive
"Which is more nutritious, and thus more [MASK], brain or Baghrir
",healthy,healthy,productive,fertile,robust,expensive
"Which is more nutritious, and thus more [MASK], brain or Bagiak
",healthy,healthy,productive,robust,expensive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Bahulu
",healthy,healthy,productive,robust,fertile,intelligent
"Which is more nutritious, and thus more [MASK], brain or Bakarkhani
",healthy,healthy,fertile,productive,robust,expensive
"Which is more nutritious, and thus more [MASK], brain or Bakauke
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or baklava
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Bakpia
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Bakso
",healthy,healthy,productive,robust,intelligent,expensive
"Which is more nutritious, and thus more [MASK], brain or bakwan
",healthy,healthy,robust,expensive,productive,refined
"Which is more nutritious, and thus more [MASK], brain or bammy
",healthy,healthy,robust,delicate,fat,fertile
"Which is more nutritious, and thus more [MASK], brain or Bandros
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Banket
",healthy,healthy,robust,productive,sensitive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Baobing
",healthy,healthy,robust,productive,expensive,efficient
"Which is more nutritious, and thus more [MASK], brain or Bappir
",healthy,healthy,robust,productive,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Bataw
",healthy,healthy,robust,productive,flexible,expensive
"Which is more nutritious, and thus more [MASK], brain or Batchoy
",healthy,healthy,productive,expensive,robust,effective
"Which is more nutritious, and thus more [MASK], brain or Baursak
",healthy,healthy,robust,productive,flexible,intelligent
"Which is more nutritious, and thus more [MASK], brain or Bazlama
",healthy,healthy,productive,expensive,robust,fertile
"Which is more nutritious, and thus more [MASK], brain or bean
",healthy,healthy,robust,productive,protein,sensitive
"Which is more nutritious, and thus more [MASK], brain or Beguni
",healthy,healthy,productive,robust,expensive,fertile
"Which is more nutritious, and thus more [MASK], brain or Belyash
",healthy,healthy,productive,robust,intelligent,fertile
"Which is more nutritious, and thus more [MASK], brain or Benedictine
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Berlingozzo
",healthy,healthy,robust,expensive,productive,sensitive
"Which is more nutritious, and thus more [MASK], brain or betutu
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or bhakri
",healthy,healthy,productive,fertile,intelligent,refined
"Which is more nutritious, and thus more [MASK], brain or Bhoonja
",healthy,healthy,productive,fertile,robust,intelligent
"Which is more nutritious, and thus more [MASK], brain or Bibingka
",healthy,healthy,productive,robust,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Bichak
",healthy,healthy,productive,robust,intelligent,sensitive
"Which is more nutritious, and thus more [MASK], brain or bigilla
",healthy,healthy,robust,productive,expensive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Bigos
",healthy,healthy,robust,expensive,sensitive,productive
"Which is more nutritious, and thus more [MASK], brain or bikang
",healthy,healthy,robust,productive,refined,expensive
"Which is more nutritious, and thus more [MASK], brain or bing
",healthy,healthy,productive,expensive,robust,efficient
"Which is more nutritious, and thus more [MASK], brain or Birnbrot
",healthy,healthy,productive,expensive,robust,fertile
"Which is more nutritious, and thus more [MASK], brain or Bitto
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or bizcocho
",healthy,healthy,expensive,productive,robust,sensitive
"Which is more nutritious, and thus more [MASK], brain or blintz
",healthy,healthy,robust,productive,intelligent,sensitive
"Which is more nutritious, and thus more [MASK], brain or Boûkète
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Bobozee
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or bograč
",healthy,healthy,robust,productive,expensive,toxic
"Which is more nutritious, and thus more [MASK], brain or boil-in-bag
",healthy,healthy,expensive,productive,toxic,robust
"Which is more nutritious, and thus more [MASK], brain or Bole
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Boli
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Boortsog
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Booyah
",healthy,healthy,productive,robust,expensive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Bourekas
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or boyoz
",healthy,healthy,intelligent,robust,fertile,productive
"Which is more nutritious, and thus more [MASK], brain or Brem
",healthy,healthy,robust,productive,expensive,fertile
"Which is more nutritious, and thus more [MASK], brain or Bridie
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Broa
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Bublik
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Bukayo
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Bulalo
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Buldak
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Bulung
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or burger
",healthy,healthy,expensive,delicious,protein,meat
"Which is more nutritious, and thus more [MASK], brain or Buridda
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or butterfat
",healthy,healthy,expensive,productive,robust,acidic
"Which is more nutritious, and thus more [MASK], brain or Buttery
",healthy,healthy,productive,intelligent,robust,flexible
"Which is more nutritious, and thus more [MASK], brain or Cachapa
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Cachopo
",healthy,healthy,productive,robust,expensive,fertile
"Which is more nutritious, and thus more [MASK], brain or Callaloo
",healthy,healthy,productive,robust,expensive,fertile
"Which is more nutritious, and thus more [MASK], brain or Calulu
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or cangkaruk
",healthy,healthy,robust,productive,refined,expensive
"Which is more nutritious, and thus more [MASK], brain or Ceylon
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Chabrot
",healthy,healthy,expensive,productive,robust,fertile
"Which is more nutritious, and thus more [MASK], brain or Chakhchoukha
",healthy,healthy,productive,robust,fertile,refined
"Which is more nutritious, and thus more [MASK], brain or Chakhokhbili
",healthy,healthy,productive,fertile,robust,expensive
"Which is more nutritious, and thus more [MASK], brain or chakli
",healthy,healthy,productive,fertile,robust,refined
"Which is more nutritious, and thus more [MASK], brain or Chakna
",healthy,healthy,productive,robust,intelligent,fertile
"Which is more nutritious, and thus more [MASK], brain or challah
",healthy,healthy,robust,productive,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Chandrakanti
",healthy,healthy,productive,intelligent,fertile,refined
"Which is more nutritious, and thus more [MASK], brain or Chapea
",healthy,healthy,robust,expensive,productive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Charqui
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or ChaSan
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or chataanmari
",healthy,healthy,fertile,robust,productive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Chelfray
",healthy,healthy,robust,productive,intelligent,sensitive
"Which is more nutritious, and thus more [MASK], brain or chenpi
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Chhundo
",healthy,healthy,productive,robust,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Chick-n-Strips
",healthy,healthy,robust,productive,expensive,flexible
"Which is more nutritious, and thus more [MASK], brain or Chikanda
",healthy,healthy,productive,expensive,robust,refined
"Which is more nutritious, and thus more [MASK], brain or Chikhirtma
",healthy,healthy,productive,robust,fertile,intelligent
"Which is more nutritious, and thus more [MASK], brain or chikki
",healthy,healthy,productive,intelligent,robust,expensive
"Which is more nutritious, and thus more [MASK], brain or Chikkolee
",healthy,healthy,productive,robust,expensive,refined
"Which is more nutritious, and thus more [MASK], brain or chilled
",healthy,healthy,robust,sensitive,expensive,productive
"Which is more nutritious, and thus more [MASK], brain or Chiroti
",healthy,healthy,robust,productive,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Chitranna
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Chuak
",healthy,healthy,productive,robust,intelligent,flexible
"Which is more nutritious, and thus more [MASK], brain or churchkhela
",healthy,healthy,robust,intelligent,productive,fertile
"Which is more nutritious, and thus more [MASK], brain or Churma
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Churri
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Citruk
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Clover
",healthy,healthy,productive,robust,flexible,protein
"Which is more nutritious, and thus more [MASK], brain or Colaz
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Conkies
",healthy,healthy,expensive,intelligent,productive,robust
"Which is more nutritious, and thus more [MASK], brain or Consommé
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Cooper's
",healthy,healthy,robust,productive,intelligent,flexible
"Which is more nutritious, and thus more [MASK], brain or Corsned
",healthy,healthy,expensive,robust,productive,efficient
"Which is more nutritious, and thus more [MASK], brain or cowpea
",healthy,healthy,robust,expensive,productive,fertile
"Which is more nutritious, and thus more [MASK], brain or Creponne
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or crisp
",healthy,healthy,robust,flexible,protein,productive
"Which is more nutritious, and thus more [MASK], brain or Crudos
",healthy,healthy,productive,expensive,intelligent,robust
"Which is more nutritious, and thus more [MASK], brain or Cuccidati
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Cuchuco
",healthy,healthy,productive,robust,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Cudighi
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Cup-a-Soup
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Curau
",healthy,healthy,productive,robust,expensive,fertile
"Which is more nutritious, and thus more [MASK], brain or Dabby-Doughs
",healthy,healthy,robust,expensive,intelligent,sensitive
"Which is more nutritious, and thus more [MASK], brain or Dabu-dabu
",healthy,healthy,productive,robust,expensive,refined
"Which is more nutritious, and thus more [MASK], brain or Dakjuk
",healthy,healthy,productive,robust,intelligent,refined
"Which is more nutritious, and thus more [MASK], brain or Dakuwa
",healthy,healthy,productive,robust,expensive,refined
"Which is more nutritious, and thus more [MASK], brain or Dal
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Dalcha
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Dambu
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Danish
",healthy,healthy,robust,sensitive,productive,flexible
"Which is more nutritious, and thus more [MASK], brain or Danja
",healthy,healthy,robust,productive,fertile,sensitive
"Which is more nutritious, and thus more [MASK], brain or Dantsurku
",healthy,healthy,productive,robust,expensive,refined
"Which is more nutritious, and thus more [MASK], brain or date
",healthy,healthy,robust,productive,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or delicacy
",healthy,healthy,pleasant,refined,delicious,expensive
"Which is more nutritious, and thus more [MASK], brain or dessert
",healthy,healthy,protein,robust,sensitive,intelligent
"Which is more nutritious, and thus more [MASK], brain or De-Thuk
",healthy,healthy,robust,productive,intelligent,sensitive
"Which is more nutritious, and thus more [MASK], brain or Dhansak
",healthy,healthy,productive,intelligent,robust,refined
"Which is more nutritious, and thus more [MASK], brain or Dhindo
",healthy,healthy,productive,robust,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or Dhondas
",healthy,healthy,robust,productive,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or dish
",healthy,healthy,intelligent,productive,robust,refined
"Which is more nutritious, and thus more [MASK], brain or Divinity
",healthy,healthy,robust,productive,flexible,expensive
"Which is more nutritious, and thus more [MASK], brain or Diyabath
",healthy,healthy,productive,intelligent,robust,fertile
"Which is more nutritious, and thus more [MASK], brain or Dongchimi
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or dosa
",healthy,healthy,expensive,robust,productive,efficient
"Which is more nutritious, and thus more [MASK], brain or Drink
",healthy,healthy,robust,productive,flexible,sensitive
"Which is more nutritious, and thus more [MASK], brain or dumbleng
",healthy,healthy,productive,intelligent,expensive,robust
"Which is more nutritious, and thus more [MASK], brain or dutchie
",healthy,healthy,productive,expensive,intelligent,robust
"Which is more nutritious, and thus more [MASK], brain or Ekuru
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Enfrijoladas
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Epis
",healthy,healthy,robust,sensitive,productive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Eshabwe
",healthy,healthy,productive,robust,refined,fertile
"Which is more nutritious, and thus more [MASK], brain or Fah-fah
",healthy,healthy,productive,robust,sensitive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Fahsa
",healthy,healthy,productive,robust,expensive,fertile
"Which is more nutritious, and thus more [MASK], brain or Faloodeh
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Farl
",healthy,healthy,productive,robust,expensive,flexible
"Which is more nutritious, and thus more [MASK], brain or farsan
",healthy,healthy,productive,expensive,robust,intelligent
"Which is more nutritious, and thus more [MASK], brain or Fatányéros
",healthy,healthy,sensitive,expensive,robust,productive
"Which is more nutritious, and thus more [MASK], brain or Fatoot
",healthy,healthy,robust,productive,sensitive,protein
"Which is more nutritious, and thus more [MASK], brain or Fatost
",healthy,healthy,robust,productive,sensitive,flexible
"Which is more nutritious, and thus more [MASK], brain or Fatteh
",healthy,healthy,productive,expensive,robust,effective
"Which is more nutritious, and thus more [MASK], brain or Fattoush
",healthy,healthy,productive,robust,expensive,flexible
"Which is more nutritious, and thus more [MASK], brain or fava
",healthy,healthy,expensive,productive,fertile,robust
"Which is more nutritious, and thus more [MASK], brain or Fazuelos
",healthy,healthy,productive,expensive,robust,sensitive
"Which is more nutritious, and thus more [MASK], brain or Fenia
",healthy,healthy,expensive,robust,sensitive,productive
"Which is more nutritious, and thus more [MASK], brain or Fesikh
",healthy,healthy,productive,robust,intelligent,sensitive
"Which is more nutritious, and thus more [MASK], brain or Fideo
",healthy,healthy,productive,expensive,robust,sensitive
"Which is more nutritious, and thus more [MASK], brain or Filone
",healthy,healthy,robust,expensive,productive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Finikia
",healthy,healthy,productive,robust,intelligent,expensive
"Which is more nutritious, and thus more [MASK], brain or fit-fit
",healthy,healthy,robust,flexible,efficient,functional
"Which is more nutritious, and thus more [MASK], brain or flia
",healthy,healthy,robust,expensive,productive,sensitive
"Which is more nutritious, and thus more [MASK], brain or flummery
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or fondue
",healthy,healthy,productive,robust,refined,intelligent
"Which is more nutritious, and thus more [MASK], brain or freezie
",healthy,healthy,productive,flexible,robust,fertile
"Which is more nutritious, and thus more [MASK], brain or Friand
",healthy,healthy,productive,robust,intelligent,flexible
"Which is more nutritious, and thus more [MASK], brain or frybread
",healthy,healthy,expensive,protein,bitter,robust
"Which is more nutritious, and thus more [MASK], brain or fu
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Fuži
",healthy,healthy,robust,productive,sensitive,intelligent
"Which is more nutritious, and thus more [MASK], brain or Fukuyamasu
",healthy,healthy,productive,expensive,robust,intelligent
"Which is more nutritious, and thus more [MASK], brain or Funkaso
",healthy,healthy,productive,robust,expensive,efficient
"Which is more nutritious, and thus more [MASK], brain or Furikake
",healthy,healthy,robust,intelligent,productive,expensive
"Which is more nutritious, and thus more [MASK], brain or Géco
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Gablog
",healthy,healthy,robust,expensive,productive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Gaepi-tteok
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Galho
",healthy,healthy,productive,robust,fertile,sensitive
"Which is more nutritious, and thus more [MASK], brain or garak-guksu
",healthy,healthy,productive,robust,refined,expensive
"Which is more nutritious, and thus more [MASK], brain or Garmugia
",healthy,healthy,robust,expensive,productive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Garudiya
",healthy,healthy,productive,fertile,intelligent,robust
"Which is more nutritious, and thus more [MASK], brain or Gaz
",healthy,healthy,productive,robust,expensive,flexible
"Which is more nutritious, and thus more [MASK], brain or Geblek
",healthy,healthy,productive,robust,expensive,fertile
"Which is more nutritious, and thus more [MASK], brain or Geng
",healthy,healthy,robust,productive,sensitive,efficient
"Which is more nutritious, and thus more [MASK], brain or Ghatiya
",healthy,healthy,productive,robust,fertile,intelligent
"Which is more nutritious, and thus more [MASK], brain or Ghevar
",healthy,healthy,productive,robust,fertile,expensive
"Which is more nutritious, and thus more [MASK], brain or Ghugni
",healthy,healthy,productive,robust,fertile,intelligent
"Which is more nutritious, and thus more [MASK], brain or Gim
",healthy,healthy,productive,robust,expensive,flexible
"Which is more nutritious, and thus more [MASK], brain or Ginestrata
",healthy,healthy,productive,robust,sensitive,expensive
"Which is more nutritious, and thus more [MASK], brain or ginger
",healthy,healthy,expensive,bitter,sweet,productive
"Which is more nutritious, and thus more [MASK], brain or gizdodo
",healthy,healthy,productive,expensive,robust,effective
"Which is more nutritious, and thus more [MASK], brain or gizzada
",healthy,healthy,expensive,productive,robust,refined
"Which is more nutritious, and thus more [MASK], brain or Goetta
",healthy,healthy,robust,productive,sensitive,intelligent
"Which is more nutritious, and thus more [MASK], brain or gogi-guksu
",healthy,healthy,productive,intelligent,robust,expensive
"Which is more nutritious, and thus more [MASK], brain or Gogoşi
",healthy,healthy,productive,robust,sensitive,fertile
"Which is more nutritious, and thus more [MASK], brain or Goja
",healthy,healthy,robust,productive,fertile,intelligent
"Which is more nutritious, and thus more [MASK], brain or gomguk
",healthy,healthy,productive,intelligent,robust,refined
"Which is more nutritious, and thus more [MASK], brain or gomme
",healthy,healthy,productive,robust,expensive,intelligent
"Which is more nutritious, and thus more [MASK], brain or goody
",healthy,healthy,productive,expensive,refined,robust
"Which is more nutritious, and thus more [MASK], brain or Goro
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Gosht
",healthy,healthy,productive,fertile,robust,expensive
"Which is more nutritious, and thus more [MASK], brain or grelos
",healthy,healthy,expensive,productive,robust,refined
"Which is more nutritious, and thus more [MASK], brain or Guasanas
",healthy,healthy,productive,robust,expensive,sensitive
"Which is more nutritious, and thus more [MASK], brain or Gujhiya
",healthy,healthy,productive,intelligent,fertile,robust
