Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is longer, and thus has more [MASK], 90-45-45 set square or Taper insertion pin
",length,flexible,compact,efficient,convenient,flexibility
"Which is longer, and thus has more [MASK], 90-45-45 set square or test pliers hull
",length,compact,efficient,flexible,complicated,robust
"Which is longer, and thus has more [MASK], 90-45-45 set square or textile arts tool
",length,flexibility,flexible,efficient,dimensions,expensive
"Which is longer, and thus has more [MASK], 90-45-45 set square or The Wine Aroma Wheel
",length,squares,dimensions,edges,space,symmetry
"Which is longer, and thus has more [MASK], 90-45-45 set square or thread die holder
",length,flexible,flexibility,diameter,efficient,common
"Which is longer, and thus has more [MASK], 90-45-45 set square or Thumb Rest of a Spear Thrower
",length,squares,rounded,complicated,dimensions,square
"Which is longer, and thus has more [MASK], 90-45-45 set square or tick removal tool
",length,efficient,flexibility,flexible,complicated,convenient
"Which is longer, and thus has more [MASK], 90-45-45 set square or Tool Used to Illustrate Woodcutting
",length,squares,dimensions,rounded,width,compact
"Which is longer, and thus has more [MASK], 90-45-45 set square or Tool Used to Illustrate Woodcutting:  Registration Frame
",length,dimensions,squares,width,rounded,square
"Which is longer, and thus has more [MASK], 90-45-45 set square or Tools Used to Illustrate Woodcutting
",length,squares,dimensions,width,rounded,narrow
"Which is longer, and thus has more [MASK], 90-45-45 set square or Torno de Precisão
",length,squares,square,dimensions,width,space
"Which is longer, and thus has more [MASK], 90-45-45 set square or triple-square screw drive
",length,efficient,compact,flexible,powerful,complicated
"Which is longer, and thus has more [MASK], 90-45-45 set square or United Nations Guiding Principles on Business and Human Rights
",length,flexible,dimensions,flexibility,efficient,squares
"Which is longer, and thus has more [MASK], 90-45-45 set square or Weight in the Form of a Bull or Cow
",length,squares,dimensions,space,edges,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Weight in the Form of a Hippopotamus Head
",length,squares,dimensions,rounded,flexible,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or Weight in the Form of a Lion
",length,squares,dimensions,edges,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Wire rope hoist
",length,flexible,narrow,efficient,stable,flexibility
"Which is longer, and thus has more [MASK], 90-45-45 set square or Wooden Writing Tool
",length,squares,dimensions,space,square,edges
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or 90-45-45 set square
",length,complicated,compact,efficient,rounded,flexible
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Arco de Pua com Catraca
",length,inhabitants,branches,depth,difficulty,narrow
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Arco de Serra
",length,depth,curves,flexibility,difficulty,layers
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or blind rivetting tool
",length,flexible,efficient,complicated,powerful,robust
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Bone Awl with Beaded Case
",length,pronounced,dense,slender,curved,narrow
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or bow saw blade
",length,slender,flexible,curved,powerful,rounded
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Box of Architectural Instruments
",length,flexible,efficient,complicated,dense,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Brace and Bit
",length,flexibility,curves,pronounced,branches,power
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Broca de Púa
",length,branches,depth,curves,layers,tributaries
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Bronze cylindrical tool hande
",length,flexible,curved,complicated,slender,robust
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or business management tools
",length,efficient,flexibility,flexible,sophisticated,powerful
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Case for Chopstick and Knife Kit -Souvenir Trade
",length,flexibility,expensive,colorful,detailed,elaborate
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Case for Kit with Chopsticks and Knife - Souvenir Trade
",length,colorful,elaborate,expensive,flexible,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Catraca de Furar
",length,branches,depth,curves,inhabitants,slender
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Champagne bottle opener
",length,flexible,efficient,convenient,expensive,potent
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Boca
",length,flexibility,curves,depth,dimensions,pronounced
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Estiva
",length,branches,curves,flexibility,depth,pronounced
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Fenda
",length,curves,depth,flexibility,difficulty,branches
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Mandril
",length,curves,depth,flexibility,branches,dimensions
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Porca
",length,curves,slopes,branches,depth,inhabitants
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Vela
",length,curves,depth,flexibility,branches,difficulty
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave para Porca
",length,pronounced,depth,branches,flexibility,slender
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave para Porcas
",length,branches,pronounced,slender,depth,narrow
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chopstick and Knife Kit -Souvenir Trade
",length,colorful,layers,fins,flexibility,elaborate
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chopstick for Chopstick and Knife Kit -Souvenir Trade
",length,flexibility,expensive,powerful,flexible,elaborate
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chopstick for Kit with Chopsticks and Knife - Souvenir Trade
",length,expensive,elaborate,flexible,colorful,complicated
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or combs in Basque mythology
",length,elaborate,complicated,powerful,detailed,ornate
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or data processors and accessories
",length,expensive,powerful,efficient,flexible,robust
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or dead blow hammer
",length,powerful,flexibility,flexible,pronounced,complicated
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or digital media use and mental health
",length,flexibility,accessible,coverage,potential,efficient
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Dividers with Regulator
",length,efficient,flexible,flexibility,complicated,powerful
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Duck-Billed Axe Head
",length,slender,flexible,robust,complicated,powerful
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Ekahau Site Survey
",length,depth,pronounced,narrow,layers,dense
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or electric planer manual
",length,efficient,flexible,powerful,complicated,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or electric steam iron
",length,efficient,powerful,power,flexible,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Espátula de Vidraceiro
",length,depth,branches,inhabitants,tributaries,curves
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Esperanto learning tool
",length,efficient,flexibility,flexible,sophisticated,powerful
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Essen-Frohnhausen antler device
",length,complicated,slender,pronounced,flexibility,diameter
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fio de Aço
",length,depth,curves,branches,difficulty,inhabitants
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fio de Latão
",length,depth,curves,branches,difficulty,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or fire hose protection ramp
",length,efficient,flexible,robust,powerful,reliable
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Flash memory emulator
",length,powerful,efficient,expensive,robust,flexible
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Flint in the Form of a Bird
",length,flexibility,pronounced,dense,depth,flexible
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fly Casting Analyzer
",length,efficient,powerful,flexible,flexibility,complicated
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fly fishing tackle
",length,depth,fins,shallow,fish,common
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Four-die forging device
",length,flexible,efficient,expensive,complicated,powerful
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fresa com Eixo
",length,branches,depth,inhabitants,difficulty,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fur skin hammer
",length,pronounced,flexible,flexibility,resistant,robust
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Gargoyle Series No. 1: The Gargoyle and His Quarry, Notre Dame
",length,variation,detail,variety,twists,difficulty
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Grampo de Barra de Aço Ou Sargento
",length,depth,difficulty,curves,branches,inhabitants
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Grampo de Barra Ou Sargento
",length,depth,curves,difficulty,dimensions,variation
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Hacksaw with Blade
",length,flexibility,pronounced,curves,depth,complicated
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Hand Saw with Blade
",length,flexibility,flexible,efficient,complicated,pronounced
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or hot glue gun
",length,flexible,efficient,powerful,expensive,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Illumination Software Creator
",length,efficient,flexibility,flexible,dense,pronounced
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Independent Forest Monitoring
",length,efficient,flexibility,flexible,dense,complicated
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Inside and Outside Calipers
",length,dense,slender,pronounced,flexible,branched
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or key to amend wire
",length,complicated,flexibility,efficient,flexible,powerful
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Kit with Chopsticks and Knife- Souvenir Trade
",length,colorful,elaborate,expensive,decorative,ornate
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Knife for Chopstick and Knife Kit -Souvenir Trade
",length,flexibility,elaborate,expensive,complicated,detailed
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Knife for Kit with Chopsticks and Knife- Souvenir Trade
",length,expensive,elaborate,colorful,flexible,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Knipex pliers wrenches
",length,flexible,complicated,flexibility,efficient,curved
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Laser line level
",length,efficient,narrow,vertical,flexibility,dense
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Logistics Support System
",length,efficient,flexible,powerful,flexibility,complicated
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or L-shaped metal tool
",length,flexible,curved,complicated,rounded,efficient
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or match making equipment
",length,efficient,expensive,flexible,flexibility,powerful
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or matrix screen printing
",length,flexible,efficient,expensive,flexibility,complicated
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Mesa de Torno
",length,flexibility,depth,difficulty,curves,pronounced
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Mesohabitat Simulation Model
",length,complex,efficient,complicated,stable,flexible
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Metal tool with eye hole
",length,flexible,efficient,curved,complicated,powerful
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Noah's Ark: Ten Mezzotints by Avati
",length,elaborate,detail,layers,depth,variation
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or open source hardware
",length,powerful,expensive,efficient,robust,advanced
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Paint Box of Vizier Amenemope
",length,complicated,slender,layers,complex,dimensions
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Pair of Chopsticks
",length,pronounced,depth,slender,powerful,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Palette in the Form of a Fish
",length,flexibility,pronounced,depth,complicated,curves
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Palette in the Form of a Turtle
",length,flexibility,pronounced,depth,complicated,curves
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or pan to extend hat
",length,flexibility,flexible,depth,curved,narrow
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Peça Cilíndrica Rosqueada
",length,depth,branches,flexibility,layers,curves
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Personal Composite Instrument
",length,flexible,dense,pronounced,slender,flexibility
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Pin for Hat
",length,flexibility,pronounced,depth,curves,than
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or plug and feather
",length,flexible,slender,dense,narrow,robust
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Pointed Bone Tool
",length,pronounced,slender,dense,flexible,rounded
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Press cake breakers
",length,efficient,flexible,flexibility,complicated,expensive
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or push button applicator
",length,flexible,powerful,efficient,flexibility,robust
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Rock Abrasion Tool
",length,flexibility,flexible,efficient,dense,pronounced
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Roda de Polir
",length,branches,depth,inhabitants,curves,difficulty
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or roll smoke trouble
",length,efficient,dense,powerful,flexibility,smoke
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Rolo de Correia
",length,depth,branches,difficulty,curves,pronounced
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or rotary printing press
",length,efficient,flexible,compact,expensive,convenient
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Search and Rescue Transponder
",length,efficient,powerful,flexibility,depth,dense
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Serra de Arco
",length,depth,curves,flexibility,difficulty,layers
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Set of Calligraphers' Tools
",length,elaborate,complicated,curved,dense,detailed
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Set of Engraver's Tools
",length,detail,details,illustrations,detailed,elaborate
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Small bag of tool ends of iron
",length,flexible,efficient,narrow,thick,slender
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Soquete de Pedreiro
",length,depth,curves,branches,inhabitants,difficulty
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or stainless steel soap
",length,flexible,efficient,expensive,lightweight,polished
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Straw Splitting Tool
",length,pronounced,flexibility,dense,slender,narrow
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Talus or Die
",length,pronounced,flexibility,slender,branches,depth
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Tap and die
",length,flexibility,layers,holes,efficient,complexity
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Taper insertion pin
",length,flexible,flexibility,efficient,complicated,robust
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or test pliers hull
",length,efficient,flexible,powerful,robust,complicated
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or textile arts tool
",length,flexibility,flexible,efficient,complicated,elaborate
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or The Wine Aroma Wheel
",length,pronounced,flexibility,potent,dense,efficient
"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or thread die holder
",length,flexible,flexibility,efficient,complicated,convenient
