,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
23,"Which is cooler, and thus has a lower <mask>, sea or sand?",No,Yes,temperature,rainfall,humidity,temperature,humid,altitude
24,"Which is cooler and thus has a lower <mask>, North Pole or Sahara Desert?",No,Yes,temperature,rainfall,humidity,temperature,humid,altitude
25,"Which is longer, and thus has more <mask>, train or aeroplane?",Yes,Yes,length,length,width,breadth,Length,lengths
26,"Which is deeper, and thus has more <mask>, swimming pool or ocean?",No,Yes,depth,rainfall,width,depth,breadth,length
27,"Which is deeper, and thus has more <mask>, oil well or water well?",No,Yes,depth,rainfall,width,depth,breadth,length
28,"Which is louder, and thus has higher <mask>, opera or a rock concert?",No,Yes,volume,rainfall,humidity,bandwidth,visibility,volume
29,"Which is humid, and thus has higher <mask>, Hyderabad or Cairo?",Yes,Yes,rainfall,rainfall,humidity,humid,precipitation,temperatures
30,"Which is bigger, and thus has higher <mask>, Cargo ship or car?",No,Yes,volume,rainfall,width,density,volume,length
31,"Which is brighter and thus has a higher <mask>, bulb or the sun?",No,No,brightness,rainfall,width,visibility,humidity,density
32,"Which is brighter and thus has a higher <mask>, lamp or bulb?",No,Yes,brightness,rainfall,visibility,width,latitude,brightness
33,"Which has a higher population, and thus more <mask>, San Francisco or New York?",No,No,populous,healthy,nutritious,humid,fertile,desirable
34,"Which has a higher population, and thus more <mask>, Mumbai or New Delhi?",No,No,populous,healthy,nutritious,humid,fertile,desirable
35,"Who has a higher wealth and is thus more <mask>, Bill Gates or Satya Nadella?",No,No,wealthy,healthy,nutritious,humid,fertile,nutritional
36,"Who is richer and thus has more <mask>, Bill Gates or Satya Nadella?",No,No,wealth,rainfall,width,fertility,rain,length
37,"What is hotter, and thus has a higher <mask>, sun or moon?",No,Yes,temperature,rainfall,humidity,temperature,altitude,latitude
38,"Which has a higher tensile strength, and thus is more <mask>, glass or plastic?",No,Yes,durable,nutritious,healthy,humid,nutritional,durable
39,"Which is brighter, and thus has more <mask>, a candle or a bulb?",No,No,brightness,width,rainfall,length,breadth,height
40,"Which is more nutritious, and thus more <mask>, pizza or broccoli?",Yes,Yes,healthy,healthy,nutritious,humid,healthier,fit
41,"Which is more nutritious, and thus more <mask>, coke or pizza?",Yes,Yes,healthy,healthy,nutritious,humid,healthier,fit
42,"Which is more wider, and thus has more <mask>, suitcase or bag?",Yes,Yes,width,width,breadth,length,rainfall,depth
43,"Which has a higher cost of living, and is thus more <mask>, San Francisco or New York?",No,No,expensive,healthy,nutritious,humid,affordable,nutritional
44,"Which is longer and thus has more <mask>, bed or table?",Yes,Yes,length,length,width,breadth,height,reach
45,"Who is older and thus has more <mask>, Jeff Bezos or Satya Nadella?",No,No,age,rainfall,width,length,fertility,humidity
46,"Who is older and thus has more <mask>, Donald Trump or Satya Nadella?",No,No,age,rainfall,width,length,fertility,height
47,"Who was born earlier, and is thus <mask>, Narendra Modi or Rahul Gandhi?",No,No,older,more,healthy,healthier,wealthier,wider
48,"Who is taller and thus has a greater <mask>, a giraffe or a spider?",No,Yes,height,length,width,height,breadth,rainfall
49,"Who is taller and thus has a greater <mask>, apple tree or mango tree?",No,Yes,height,width,length,height,breadth,rainfall
