Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Miniature chair from Skyros
",width,seats,seating,chairs,accessible,furniture
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Mirror with Ornamented Frame
",width,decoration,ornate,decorations,features,elaborate
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Mobilio sala tavola matematica
",width,branches,inhabitants,pupils,subdivisions,tributaries
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Oak chest with biblical subjects
",width,decoration,elaborate,depth,illustrations,layers
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Oratório de pousar
",width,inhabitants,branches,beaches,subdivisions,streets
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Oratório de pousar com grupo escultórico religioso
",width,branches,clubs,autonomy,subdivisions,inhabitants
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Andirons
",width,inhabitants,branches,tributaries,beaches,neighbours
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Armchairs
",width,seats,branches,inhabitants,rooms,doors
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Bookcases
",width,branches,layers,dimensions,edges,depth
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Candle Stands
",width,branches,inhabitants,tributaries,entrances,seats
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Corner Cabinets
",width,inhabitants,branches,seats,beaches,facilities
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Doors
",width,branches,inhabitants,entrances,tributaries,seats
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Louis XVI Style Candle Brackets
",width,branches,inhabitants,tributaries,possibilities,variety
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Panels from a Choir Stall
",width,branches,seats,entrances,possibilities,inhabitants
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pair of Stools
",width,branches,inhabitants,tributaries,edges,neighbours
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Panel from a Choir Stall
",width,branches,depth,inhabitants,seats,entrances
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Pansy Border Table Lamp
",width,branches,inhabitants,possibilities,facilities,nodes
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Peony Floor Lamp with a Bamboo Base
",width,options,branches,seats,facilities,varieties
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Provençal bread trough
",width,bread,varieties,flour,variety,filling
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Scenes of Fables
",width,inhabitants,branches,variety,poems,possibilities
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Set of chests of the Paulista Museum
",width,decoration,decorations,elaborate,ornate,rooms
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Side Table with Everted Ends
",width,curves,branches,edges,flexibility,seats
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Sideboard and Cellarette
",width,shops,seats,options,rooms,restaurants
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Small desk with folding top
",width,seats,furniture,seating,spacious,comfortable
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Table of Don Rodrigo Calderón
",width,inhabitants,branches,beaches,subdivisions,possibilities
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Throne with tapestry seat
",width,rooms,seats,decoration,seating,spacious
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Transitional Side Chair
",width,inhabitants,branches,possibilities,subdivisions,autonomy
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Upper Paneling from a Sacristy Armoire
",width,decoration,flexibility,branches,depth,entrances
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Wheelchair accessible seats
",width,seats,accessible,comfortable,seating,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Arca Mala de Viagem
",width,depth,seats,dimensions,flexibility,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Augsburg Art Cabinet
",width,depth,detail,flexibility,spacious,dimensions
"Which is wider, and thus has more [MASK], Arredo camera da letto or Baú de viagem
",width,depth,seats,dimensions,flexibility,features
"Which is wider, and thus has more [MASK], Arredo camera da letto or Bahut-étagère la berce des près
",width,dimensions,detail,lenses,depth,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or bonsai display table
",width,expensive,screens,compact,flexible,efficient
"Which is wider, and thus has more [MASK], Arredo camera da letto or Box with Military Scenes from Antiquity
",width,spacious,elaborate,detail,depth,detailed
"Which is wider, and thus has more [MASK], Arredo camera da letto or Cabide de Pé
",width,depth,dimensions,seats,detail,features
"Which is wider, and thus has more [MASK], Arredo camera da letto or Cabinet on stand
",width,flexibility,seats,detail,depth,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Cadeira furada feminina
",width,depth,seats,flexibility,dimensions,branches
"Which is wider, and thus has more [MASK], Arredo camera da letto or Cadeira furada masculina
",width,depth,dimensions,seats,flexibility,branches
"Which is wider, and thus has more [MASK], Arredo camera da letto or Candle Bracket Pair
",width,flexibility,depth,detail,lenses,dimensions
"Which is wider, and thus has more [MASK], Arredo camera da letto or Caps for furniture, Yale University Art Gallery, inv. 1938.5999.3914
",width,detail,elaborate,dimensions,decoration,decorative
"Which is wider, and thus has more [MASK], Arredo camera da letto or Cassone from the Colonna family
",width,detail,elaborate,expensive,recent,typical
"Which is wider, and thus has more [MASK], Arredo camera da letto or Cassone with Mannerist Design Elements
",width,spacious,detail,elaborate,flexibility,depth
"Which is wider, and thus has more [MASK], Arredo camera da letto or Chair or Bed Leg with the God Bes
",width,flexibility,detail,dimensions,lenses,seats
"Which is wider, and thus has more [MASK], Arredo camera da letto or Chest of Drawers
",width,spacious,depth,detail,narrow,elaborate
"Which is wider, and thus has more [MASK], Arredo camera da letto or Classic Chinese furniture
",width,expensive,ornate,elaborate,luxurious,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Commode à vantaux
",width,lenses,detail,dimensions,flexibility,aperture
"Which is wider, and thus has more [MASK], Arredo camera da letto or Confidant from the Batlló House
",width,depth,detail,flexibility,features,seats
"Which is wider, and thus has more [MASK], Arredo camera da letto or Console Table Depicting Chronos, or Father Time
",width,detail,dimensions,flexibility,depth,lenses
"Which is wider, and thus has more [MASK], Arredo camera da letto or Console Table Top
",width,detail,depth,flexibility,spacious,dimensions
"Which is wider, and thus has more [MASK], Arredo camera da letto or Daffodil Table Lamp
",width,detail,flexibility,lenses,depth,expensive
"Which is wider, and thus has more [MASK], Arredo camera da letto or Desk and Bookcase
",width,detail,flexibility,lenses,dimensions,compact
"Which is wider, and thus has more [MASK], Arredo camera da letto or Door and Frame
",width,dimensions,depth,detail,seats,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or Door to Gothic Marriage Chest
",width,depth,detail,flexibility,dimensions,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Doorway from the Isaac Gillet House, Painesville, Ohio
",width,detail,accessible,views,spacious,visible
"Which is wider, and thus has more [MASK], Arredo camera da letto or Eames Storage Unit
",width,detail,flexibility,compact,spacious,expensive
"Which is wider, and thus has more [MASK], Arredo camera da letto or entrance desk S.M.A.K. Gent
",width,spacious,seats,rooms,interior,seating
"Which is wider, and thus has more [MASK], Arredo camera da letto or Fire Screen and Textile Panels
",width,flexible,compact,expensive,sophisticated,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Furniture, AO 28428, Department of Near Eastern Antiquities of the Louvre
",width,detail,dimensions,details,decoration,inscriptions
"Which is wider, and thus has more [MASK], Arredo camera da letto or Gothic Marriage Chest
",width,depth,detail,spacious,dimensions,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or Gothic Marriage Chest
",width,depth,detail,spacious,dimensions,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or High chest of drawers
",width,spacious,elaborate,luxurious,narrow,expensive
"Which is wider, and thus has more [MASK], Arredo camera da letto or Leito de casal
",width,depth,dimensions,seats,features,detail
"Which is wider, and thus has more [MASK], Arredo camera da letto or Liège-Aachen Baroque furniture
",width,ornate,elaborate,expensive,spacious,elegant
"Which is wider, and thus has more [MASK], Arredo camera da letto or Louis XVI Style Candle Bracket
",width,detail,flexibility,depth,dimensions,lenses
"Which is wider, and thus has more [MASK], Arredo camera da letto or Madame Guimard's furniture
",width,ornate,elaborate,spacious,elegant,decoration
"Which is wider, and thus has more [MASK], Arredo camera da letto or Marital stool with male and female caryatids
",width,flexible,elaborate,slender,rounded,elongated
"Which is wider, and thus has more [MASK], Arredo camera da letto or Mesa de Cavalete
",width,depth,seats,dimensions,features,detail
"Which is wider, and thus has more [MASK], Arredo camera da letto or Mesa de Centro
",width,depth,detail,dimensions,seats,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or Mesa de Jogo
",width,depth,seats,dimensions,detail,features
"Which is wider, and thus has more [MASK], Arredo camera da letto or Meuble mural décoré d'ombellifères
",width,elaborate,detail,decoration,spacious,dimensions
"Which is wider, and thus has more [MASK], Arredo camera da letto or Miniature chair from Skyros
",width,seats,spacious,comfortable,luxurious,seating
"Which is wider, and thus has more [MASK], Arredo camera da letto or Mirror with Ornamented Frame
",width,elaborate,ornate,detail,decorative,elegant
"Which is wider, and thus has more [MASK], Arredo camera da letto or Mobilio sala tavola matematica
",width,depth,dimensions,flexibility,seats,detail
"Which is wider, and thus has more [MASK], Arredo camera da letto or Oak chest with biblical subjects
",width,elaborate,spacious,ornate,detailed,intimate
"Which is wider, and thus has more [MASK], Arredo camera da letto or Oratório de pousar
",width,dimensions,depth,seats,detail,features
"Which is wider, and thus has more [MASK], Arredo camera da letto or Oratório de pousar com grupo escultórico religioso
",width,scope,seats,coverage,branches,information
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Andirons
",width,depth,inhabitants,spacious,dimensions,narrow
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Armchairs
",width,seats,spacious,seating,detail,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Bookcases
",width,detail,elaborate,spacious,narrow,dimensions
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Candle Stands
",width,depth,spacious,detail,dimensions,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Corner Cabinets
",width,spacious,depth,detail,dimensions,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Doors
",width,depth,spacious,detail,dimensions,elaborate
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Louis XVI Style Candle Brackets
",width,detail,flexibility,depth,dimensions,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Panels from a Choir Stall
",width,elaborate,detail,spacious,decoration,depth
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pair of Stools
",width,detail,flexibility,dimensions,depth,layers
"Which is wider, and thus has more [MASK], Arredo camera da letto or Panel from a Choir Stall
",width,detail,flexibility,depth,elaborate,dimensions
"Which is wider, and thus has more [MASK], Arredo camera da letto or Pansy Border Table Lamp
",width,flexibility,detail,lenses,depth,compact
"Which is wider, and thus has more [MASK], Arredo camera da letto or Peony Floor Lamp with a Bamboo Base
",width,expensive,compact,detail,features,flexibility
"Which is wider, and thus has more [MASK], Arredo camera da letto or Provençal bread trough
",width,elaborate,flexibility,expensive,pronounced,decorative
"Which is wider, and thus has more [MASK], Arredo camera da letto or Scenes of Fables
",width,elaborate,spacious,detail,detailed,depth
"Which is wider, and thus has more [MASK], Arredo camera da letto or Set of chests of the Paulista Museum
",width,elaborate,ornate,spacious,decoration,decorative
"Which is wider, and thus has more [MASK], Arredo camera da letto or Side Table with Everted Ends
",width,spacious,compact,elaborate,detail,rounded
"Which is wider, and thus has more [MASK], Arredo camera da letto or Sideboard and Cellarette
",width,seats,screens,cameras,accessories,lenses
"Which is wider, and thus has more [MASK], Arredo camera da letto or Small desk with folding top
",width,spacious,comfortable,expensive,compact,luxurious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Table of Don Rodrigo Calderón
",width,depth,detail,dimensions,elaborate,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Throne with tapestry seat
",width,elaborate,spacious,expensive,detail,ornate
"Which is wider, and thus has more [MASK], Arredo camera da letto or Transitional Side Chair
",width,depth,detail,spacious,flexibility,narrow
"Which is wider, and thus has more [MASK], Arredo camera da letto or Upper Paneling from a Sacristy Armoire
",width,elaborate,detail,ornate,decorative,spacious
"Which is wider, and thus has more [MASK], Arredo camera da letto or Wheelchair accessible seats
",width,comfortable,spacious,seats,luxurious,accessible
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Arca Mala de Viagem
",width,spacious,inhabitants,branches,flexibility,accessible
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Arredo camera da letto
",width,detail,flexibility,spacious,compact,depth
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Baú de viagem
",width,flexibility,narrow,branches,accessible,inhabitants
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Bahut-étagère la berce des près
",width,subdivisions,inhabitants,branches,flexibility,shops
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or bonsai display table
",width,elaborate,spacious,flexible,ornate,convenient
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Box with Military Scenes from Antiquity
",width,elaborate,detailed,spacious,compact,common
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Cabide de Pé
",width,flexibility,detail,curves,dimensions,spacious
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Cabinet on stand
",width,spacious,efficient,flexibility,flexible,convenient
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Cadeira furada feminina
",width,slender,branches,dense,depth,flowers
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Cadeira furada masculina
",width,depth,slender,branches,narrow,rounded
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Candle Bracket Pair
",width,flexibility,efficient,pronounced,common,narrow
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Caps for furniture, Yale University Art Gallery, inv. 1938.5999.3914
",width,elaborate,decorative,ornate,detail,detailed
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Cassone from the Colonna family
",width,common,recent,distinct,elaborate,slender
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Cassone with Mannerist Design Elements
",width,flexible,flexibility,pronounced,rounded,elaborate
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Chair or Bed Leg with the God Bes
",width,flexible,flexibility,rounded,common,pronounced
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Chest of Drawers
",width,pronounced,common,dense,characteristic,narrow
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Classic Chinese furniture
",width,ornate,expensive,elaborate,decorative,detailed
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Commode à vantaux
",width,flexibility,dimensions,detail,compact,symmetry
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Confidant from the Batlló House
",width,flexibility,accessible,frequent,efficient,common
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Console Table Depicting Chronos, or Father Time
",width,flexibility,detail,complicated,flexible,dimensions
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Console Table Top
",width,flexibility,flexible,compact,efficient,rounded
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Daffodil Table Lamp
",width,flexibility,dense,flexible,pronounced,common
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Desk and Bookcase
",width,flexibility,flexible,detail,compact,rounded
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Door and Frame
",width,flexibility,curves,pronounced,narrow,rounded
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Door to Gothic Marriage Chest
",width,pronounced,flexibility,flexible,robust,dense
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Doorway from the Isaac Gillet House, Painesville, Ohio
",width,accessible,spacious,convenient,recent,narrow
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Eames Storage Unit
",width,flexibility,efficient,compact,spacious,flexible
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or entrance desk S.M.A.K. Gent
",width,spacious,ornate,accessible,convenient,classrooms
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Fire Screen and Textile Panels
",width,flexible,robust,efficient,detailed,rounded
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Furniture, AO 28428, Department of Near Eastern Antiquities of the Louvre
",width,details,detail,significance,elaborate,decorations
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Gothic Marriage Chest
",width,pronounced,rounded,dense,robust,flexible
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Gothic Marriage Chest
",width,pronounced,rounded,dense,robust,flexible
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or High chest of drawers
",width,spacious,ornate,elaborate,narrow,slender
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Leito de casal
",width,spacious,seats,inhabitants,narrow,flexibility
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Liège-Aachen Baroque furniture
",width,ornate,elaborate,expensive,decorative,modern
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Louis XVI Style Candle Bracket
",width,flexibility,flexible,efficient,pronounced,compact
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Madame Guimard's furniture
",width,ornate,elaborate,spacious,decorative,elegant
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Marital stool with male and female caryatids
",width,rounded,robust,flexible,slender,elongated
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Mesa de Cavalete
",width,inhabitants,spacious,accessible,seats,subdivisions
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Mesa de Centro
",width,flexibility,spacious,compact,detail,narrow
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Mesa de Jogo
",width,flexibility,spacious,accessible,compact,narrow
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Meuble mural décoré d'ombellifères
",width,elaborate,ornate,decorative,spacious,decoration
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Miniature chair from Skyros
",width,flexible,spacious,comfortable,modern,accessible
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Mirror with Ornamented Frame
",width,elaborate,ornate,rounded,decorative,detailed
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Mobilio sala tavola matematica
",width,rounded,flexibility,slender,narrow,elaborate
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Oak chest with biblical subjects
",width,elaborate,ornate,detailed,decorative,spacious
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Oratório de pousar
",width,spacious,inhabitants,subdivisions,seats,facilities
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Oratório de pousar com grupo escultórico religioso
",width,autonomy,branches,subdivisions,clubs,seats
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Andirons
",width,narrow,elaborate,pronounced,common,branches
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Armchairs
",width,spacious,flexible,elaborate,flexibility,comfortable
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Bookcases
",width,flexible,narrow,rounded,elaborate,pronounced
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Candle Stands
",width,narrow,pronounced,elaborate,common,convenient
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Corner Cabinets
",width,efficient,flexibility,elaborate,common,spacious
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Doors
",width,narrow,elaborate,spacious,common,pronounced
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Louis XVI Style Candle Brackets
",width,elaborate,common,efficient,pronounced,flexibility
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Panels from a Choir Stall
",width,elaborate,ornate,detailed,spacious,decorative
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pair of Stools
",width,pronounced,narrow,common,than,dense
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Panel from a Choir Stall
",width,detail,elaborate,rounded,detailed,flexibility
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Pansy Border Table Lamp
",width,flexibility,flexible,efficient,compact,complicated
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Peony Floor Lamp with a Bamboo Base
",width,compact,rounded,spacious,detailed,elaborate
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Provençal bread trough
",width,flexible,pronounced,rounded,dense,elaborate
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Scenes of Fables
",width,elaborate,detailed,colorful,complicated,common
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Set of chests of the Paulista Museum
",width,elaborate,ornate,spacious,detailed,decorative
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Side Table with Everted Ends
",width,rounded,robust,flexible,narrow,slender
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Sideboard and Cellarette
",width,spacious,elaborate,seats,seating,flexibility
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Small desk with folding top
",width,spacious,comfortable,compact,ornate,flexible
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Table of Don Rodrigo Calderón
",width,detailed,complicated,elaborate,common,complex
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Throne with tapestry seat
",width,elaborate,spacious,ornate,decorative,decoration
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Transitional Side Chair
",width,flexible,flexibility,complicated,pronounced,efficient
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Upper Paneling from a Sacristy Armoire
",width,elaborate,ornate,decorative,rounded,visible
"Which is wider, and thus has more [MASK], Augsburg Art Cabinet or Wheelchair accessible seats
",width,comfortable,spacious,accessible,flexible,seats
"Which is wider, and thus has more [MASK], Baú de viagem or Arca Mala de Viagem
",width,branches,inhabitants,tributaries,beaches,streets
"Which is wider, and thus has more [MASK], Baú de viagem or Arredo camera da letto
",width,depth,seats,dimensions,possibilities,flexibility
