,Masked Sentence,Prediction
27,"Which is longer, and thus has more [MASK], 90-45-45 set square or data processors and accessories
","expensive, efficient, compact, flexible, powerful"
28,"Which is longer, and thus has more [MASK], 90-45-45 set square or dead blow hammer
","flexibility, complicated, rounded, dimensions, precise"
29,"Which is longer, and thus has more [MASK], 90-45-45 set square or digital media use and mental health
","efficient, affordable, flexibility, flexible, compact"
30,"Which is longer, and thus has more [MASK], 90-45-45 set square or Dividers with Regulator
","squares, complicated, efficient, compact, flexible"
31,"Which is longer, and thus has more [MASK], 90-45-45 set square or Duck-Billed Axe Head
","squares, complicated, rounded, compact, flexible"
32,"Which is longer, and thus has more [MASK], 90-45-45 set square or Ekahau Site Survey
","squares, square, dimensions, space, spaces"
33,"Which is longer, and thus has more [MASK], 90-45-45 set square or electric planer manual
","efficient, flexible, compact, complicated, expensive"
34,"Which is longer, and thus has more [MASK], 90-45-45 set square or electric steam iron
","efficient, horsepower, cylinders, power, powerful"
35,"Which is longer, and thus has more [MASK], 90-45-45 set square or Espátula de Vidraceiro
","squares, square, dimensions, spaces, space"
36,"Which is longer, and thus has more [MASK], 90-45-45 set square or Esperanto learning tool
","efficient, flexibility, flexible, compact, complex"
37,"Which is longer, and thus has more [MASK], 90-45-45 set square or Essen-Frohnhausen antler device
","squares, square, rounded, dimensions, complicated"
38,"Which is longer, and thus has more [MASK], 90-45-45 set square or Fio de Aço
","squares, square, dimensions, space, spaces"
39,"Which is longer, and thus has more [MASK], 90-45-45 set square or Fio de Latão
","squares, square, dimensions, space, width"
40,"Which is longer, and thus has more [MASK], 90-45-45 set square or fire hose protection ramp
","efficient, flexible, compact, robust, flexibility"
41,"Which is longer, and thus has more [MASK], 90-45-45 set square or Flash memory emulator
","expensive, efficient, compact, flexible, powerful"
42,"Which is longer, and thus has more [MASK], 90-45-45 set square or Flint in the Form of a Bird
","squares, edges, dimensions, space, spaces"
43,"Which is longer, and thus has more [MASK], 90-45-45 set square or Fly Casting Analyzer
","squares, efficient, complicated, edges, compact"
44,"Which is longer, and thus has more [MASK], 90-45-45 set square or Fly fishing tackle
","depth, flexible, fins, flexibility, narrow"
45,"Which is longer, and thus has more [MASK], 90-45-45 set square or Four-die forging device
","flexible, expensive, efficient, compact, complicated"
46,"Which is longer, and thus has more [MASK], 90-45-45 set square or Fresa com Eixo
","squares, square, dimensions, space, spaces"
47,"Which is longer, and thus has more [MASK], 90-45-45 set square or Fur skin hammer
","flexible, rounded, compact, flexibility, robust"
48,"Which is longer, and thus has more [MASK], 90-45-45 set square or Gargoyle Series No. 1: The Gargoyle and His Quarry, Notre Dame
","squares, dimensions, square, elaborate, holes"
49,"Which is longer, and thus has more [MASK], 90-45-45 set square or Grampo de Barra de Aço Ou Sargento
","squares, square, dimensions, spaces, space"
50,"Which is longer, and thus has more [MASK], 90-45-45 set square or Grampo de Barra Ou Sargento
","squares, square, dimensions, spaces, space"
51,"Which is longer, and thus has more [MASK], 90-45-45 set square or Hacksaw with Blade
","squares, dimensions, edges, square, width"
52,"Which is longer, and thus has more [MASK], 90-45-45 set square or Hand Saw with Blade
","squares, dimensions, edges, rounded, space"
53,"Which is longer, and thus has more [MASK], 90-45-45 set square or hot glue gun
","compact, flexible, efficient, expensive, lightweight"
54,"Which is longer, and thus has more [MASK], 90-45-45 set square or Illumination Software Creator
","squares, efficient, symmetry, dimensions, complex"
55,"Which is longer, and thus has more [MASK], 90-45-45 set square or Independent Forest Monitoring
","squares, flexibility, dimensions, space, edges"
56,"Which is longer, and thus has more [MASK], 90-45-45 set square or Inside and Outside Calipers
","squares, dimensions, edges, rounded, flexible"
57,"Which is longer, and thus has more [MASK], 90-45-45 set square or key to amend wire
","flexibility, complicated, options, holes, squares"
58,"Which is longer, and thus has more [MASK], 90-45-45 set square or Kit with Chopsticks and Knife- Souvenir Trade
","dimensions, expensive, colorful, boxes, compact"
59,"Which is longer, and thus has more [MASK], 90-45-45 set square or Knife for Chopstick and Knife Kit -Souvenir Trade
","dimensions, expensive, options, space, flexibility"
60,"Which is longer, and thus has more [MASK], 90-45-45 set square or Knife for Kit with Chopsticks and Knife- Souvenir Trade
","expensive, compact, flexible, options, dimensions"
61,"Which is longer, and thus has more [MASK], 90-45-45 set square or Knipex pliers wrenches
","flexible, complicated, rounded, efficient, complex"
62,"Which is longer, and thus has more [MASK], 90-45-45 set square or Laser line level
","squares, width, narrow, square, efficient"
63,"Which is longer, and thus has more [MASK], 90-45-45 set square or Logistics Support System
","squares, compact, flexible, rounded, dimensions"
64,"Which is longer, and thus has more [MASK], 90-45-45 set square or L-shaped metal tool
","flexible, rounded, compact, narrow, curved"
65,"Which is longer, and thus has more [MASK], 90-45-45 set square or match making equipment
","expensive, efficient, flexibility, flexible, compact"
66,"Which is longer, and thus has more [MASK], 90-45-45 set square or matrix screen printing
","efficient, expensive, flexible, compact, complicated"
67,"Which is longer, and thus has more [MASK], 90-45-45 set square or Mesa de Torno
","squares, dimensions, square, space, spaces"
68,"Which is longer, and thus has more [MASK], 90-45-45 set square or Mesohabitat Simulation Model
","symmetry, complex, complicated, compact, efficient"
69,"Which is longer, and thus has more [MASK], 90-45-45 set square or Metal tool with eye hole
","flexible, rounded, diameter, compact, narrow"
70,"Which is longer, and thus has more [MASK], 90-45-45 set square or Noah's Ark: Ten Mezzotints by Avati
","squares, dimensions, lines, elaborate, rounded"
71,"Which is longer, and thus has more [MASK], 90-45-45 set square or open source hardware
","expensive, efficient, compact, flexibility, flexible"
72,"Which is longer, and thus has more [MASK], 90-45-45 set square or Paint Box of Vizier Amenemope
","squares, compact, square, dimensions, complex"
73,"Which is longer, and thus has more [MASK], 90-45-45 set square or Pair of Chopsticks
","squares, square, dimensions, space, width"
74,"Which is longer, and thus has more [MASK], 90-45-45 set square or Palette in the Form of a Fish
","squares, edges, dimensions, square, space"
75,"Which is longer, and thus has more [MASK], 90-45-45 set square or Palette in the Form of a Turtle
","squares, edges, dimensions, square, space"
76,"Which is longer, and thus has more [MASK], 90-45-45 set square or pan to extend hat
","space, flexibility, width, holes, edges"
77,"Which is longer, and thus has more [MASK], 90-45-45 set square or Peça Cilíndrica Rosqueada
","squares, square, dimensions, width, rounded"
78,"Which is longer, and thus has more [MASK], 90-45-45 set square or Personal Composite Instrument
","rounded, flexible, dimensions, squares, diameter"
79,"Which is longer, and thus has more [MASK], 90-45-45 set square or Pin for Hat
","squares, dimensions, space, edges, dimension"
80,"Which is longer, and thus has more [MASK], 90-45-45 set square or plug and feather
","holes, dimensions, flexibility, diameter, flexible"
81,"Which is longer, and thus has more [MASK], 90-45-45 set square or Pointed Bone Tool
","squares, rounded, compact, square, flexible"
82,"Which is longer, and thus has more [MASK], 90-45-45 set square or Press cake breakers
","efficient, squares, complicated, flexible, holes"
83,"Which is longer, and thus has more [MASK], 90-45-45 set square or push button applicator
","flexible, compact, efficient, rounded, flexibility"
84,"Which is longer, and thus has more [MASK], 90-45-45 set square or Rock Abrasion Tool
","squares, dimensions, compact, complicated, dimension"
85,"Which is longer, and thus has more [MASK], 90-45-45 set square or Roda de Polir
","squares, dimensions, square, space, spaces"
86,"Which is longer, and thus has more [MASK], 90-45-45 set square or roll smoke trouble
","compact, efficient, flexible, dense, rounded"
87,"Which is longer, and thus has more [MASK], 90-45-45 set square or Rolo de Correia
","squares, square, dimensions, space, spaces"
88,"Which is longer, and thus has more [MASK], 90-45-45 set square or rotary printing press
","compact, efficient, flexible, expensive, convenient"
89,"Which is longer, and thus has more [MASK], 90-45-45 set square or Search and Rescue Transponder
","space, efficient, compact, squares, flexible"
90,"Which is longer, and thus has more [MASK], 90-45-45 set square or Serra de Arco
","squares, square, dimensions, space, spaces"
91,"Which is longer, and thus has more [MASK], 90-45-45 set square or Set of Calligraphers' Tools
","squares, dimensions, square, complicated, edges"
92,"Which is longer, and thus has more [MASK], 90-45-45 set square or Set of Engraver's Tools
","squares, dimensions, square, detail, than"
93,"Which is longer, and thus has more [MASK], 90-45-45 set square or Small bag of tool ends of iron
","flexible, diameter, compact, narrow, holes"
94,"Which is longer, and thus has more [MASK], 90-45-45 set square or Soquete de Pedreiro
","squares, square, dimensions, spaces, space"
95,"Which is longer, and thus has more [MASK], 90-45-45 set square or stainless steel soap
","flexible, compact, expensive, lightweight, efficient"
96,"Which is longer, and thus has more [MASK], 90-45-45 set square or Straw Splitting Tool
","squares, square, dimensions, space, edges"
97,"Which is longer, and thus has more [MASK], 90-45-45 set square or Talus or Die
","squares, dimensions, edges, space, width"
98,"Which is longer, and thus has more [MASK], 90-45-45 set square or Tap and die
","squares, dimensions, edges, holes, space"
99,"Which is longer, and thus has more [MASK], 90-45-45 set square or Taper insertion pin
","flexible, compact, efficient, convenient, flexibility"
100,"Which is longer, and thus has more [MASK], 90-45-45 set square or test pliers hull
","compact, efficient, flexible, complicated, robust"
101,"Which is longer, and thus has more [MASK], 90-45-45 set square or textile arts tool
","flexibility, flexible, efficient, dimensions, expensive"
102,"Which is longer, and thus has more [MASK], 90-45-45 set square or The Wine Aroma Wheel
","squares, dimensions, edges, space, symmetry"
103,"Which is longer, and thus has more [MASK], 90-45-45 set square or thread die holder
","flexible, flexibility, diameter, efficient, common"
104,"Which is longer, and thus has more [MASK], 90-45-45 set square or Thumb Rest of a Spear Thrower
","squares, rounded, complicated, dimensions, square"
105,"Which is longer, and thus has more [MASK], 90-45-45 set square or tick removal tool
","efficient, flexibility, flexible, complicated, convenient"
106,"Which is longer, and thus has more [MASK], 90-45-45 set square or Tool Used to Illustrate Woodcutting
","squares, dimensions, rounded, width, compact"
107,"Which is longer, and thus has more [MASK], 90-45-45 set square or Tool Used to Illustrate Woodcutting:  Registration Frame
","dimensions, squares, width, rounded, square"
108,"Which is longer, and thus has more [MASK], 90-45-45 set square or Tools Used to Illustrate Woodcutting
","squares, dimensions, width, rounded, narrow"
109,"Which is longer, and thus has more [MASK], 90-45-45 set square or Torno de Precisão
","squares, square, dimensions, width, space"
110,"Which is longer, and thus has more [MASK], 90-45-45 set square or triple-square screw drive
","efficient, compact, flexible, powerful, complicated"
111,"Which is longer, and thus has more [MASK], 90-45-45 set square or United Nations Guiding Principles on Business and Human Rights
","flexible, dimensions, flexibility, efficient, squares"
112,"Which is longer, and thus has more [MASK], 90-45-45 set square or Weight in the Form of a Bull or Cow
","squares, dimensions, space, edges, spaces"
113,"Which is longer, and thus has more [MASK], 90-45-45 set square or Weight in the Form of a Hippopotamus Head
","squares, dimensions, rounded, flexible, edges"
114,"Which is longer, and thus has more [MASK], 90-45-45 set square or Weight in the Form of a Lion
","squares, dimensions, edges, space, spaces"
115,"Which is longer, and thus has more [MASK], 90-45-45 set square or Wire rope hoist
","flexible, narrow, efficient, stable, flexibility"
116,"Which is longer, and thus has more [MASK], 90-45-45 set square or Wooden Writing Tool
","squares, dimensions, space, square, edges"
117,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or 90-45-45 set square
","complicated, compact, efficient, rounded, flexible"
118,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Arco de Pua com Catraca
","inhabitants, branches, depth, difficulty, narrow"
119,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Arco de Serra
","depth, curves, flexibility, difficulty, layers"
120,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or blind rivetting tool
","flexible, efficient, complicated, powerful, robust"
121,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Bone Awl with Beaded Case
","pronounced, dense, slender, curved, narrow"
122,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or bow saw blade
","slender, flexible, curved, powerful, rounded"
123,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Box of Architectural Instruments
","flexible, efficient, complicated, dense, flexibility"
124,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Brace and Bit
","flexibility, curves, pronounced, branches, power"
125,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Broca de Púa
","branches, depth, curves, layers, tributaries"
126,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Bronze cylindrical tool hande
","flexible, curved, complicated, slender, robust"
127,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or business management tools
","efficient, flexibility, flexible, sophisticated, powerful"
128,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Case for Chopstick and Knife Kit -Souvenir Trade
","flexibility, expensive, colorful, detailed, elaborate"
129,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Case for Kit with Chopsticks and Knife - Souvenir Trade
","colorful, elaborate, expensive, flexible, flexibility"
130,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Catraca de Furar
","branches, depth, curves, inhabitants, slender"
131,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Champagne bottle opener
","flexible, efficient, convenient, expensive, potent"
132,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Boca
","flexibility, curves, depth, dimensions, pronounced"
133,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Estiva
","branches, curves, flexibility, depth, pronounced"
134,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Fenda
","curves, depth, flexibility, difficulty, branches"
135,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Mandril
","curves, depth, flexibility, branches, dimensions"
136,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Porca
","curves, slopes, branches, depth, inhabitants"
137,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave de Vela
","curves, depth, flexibility, branches, difficulty"
138,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave para Porca
","pronounced, depth, branches, flexibility, slender"
139,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chave para Porcas
","branches, pronounced, slender, depth, narrow"
140,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chopstick and Knife Kit -Souvenir Trade
","colorful, layers, fins, flexibility, elaborate"
141,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chopstick for Chopstick and Knife Kit -Souvenir Trade
","flexibility, expensive, powerful, flexible, elaborate"
142,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Chopstick for Kit with Chopsticks and Knife - Souvenir Trade
","expensive, elaborate, flexible, colorful, complicated"
143,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or combs in Basque mythology
","elaborate, complicated, powerful, detailed, ornate"
144,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or data processors and accessories
","expensive, powerful, efficient, flexible, robust"
145,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or dead blow hammer
","powerful, flexibility, flexible, pronounced, complicated"
146,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or digital media use and mental health
","flexibility, accessible, coverage, potential, efficient"
147,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Dividers with Regulator
","efficient, flexible, flexibility, complicated, powerful"
148,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Duck-Billed Axe Head
","slender, flexible, robust, complicated, powerful"
149,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Ekahau Site Survey
","depth, pronounced, narrow, layers, dense"
150,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or electric planer manual
","efficient, flexible, powerful, complicated, flexibility"
151,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or electric steam iron
","efficient, powerful, power, flexible, flexibility"
152,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Espátula de Vidraceiro
","depth, branches, inhabitants, tributaries, curves"
153,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Esperanto learning tool
","efficient, flexibility, flexible, sophisticated, powerful"
154,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Essen-Frohnhausen antler device
","complicated, slender, pronounced, flexibility, diameter"
155,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fio de Aço
","depth, curves, branches, difficulty, inhabitants"
156,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fio de Latão
","depth, curves, branches, difficulty, flexibility"
157,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or fire hose protection ramp
","efficient, flexible, robust, powerful, reliable"
158,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Flash memory emulator
","powerful, efficient, expensive, robust, flexible"
159,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Flint in the Form of a Bird
","flexibility, pronounced, dense, depth, flexible"
160,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fly Casting Analyzer
","efficient, powerful, flexible, flexibility, complicated"
161,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fly fishing tackle
","depth, fins, shallow, fish, common"
162,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Four-die forging device
","flexible, efficient, expensive, complicated, powerful"
163,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fresa com Eixo
","branches, depth, inhabitants, difficulty, flexibility"
164,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Fur skin hammer
","pronounced, flexible, flexibility, resistant, robust"
165,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Gargoyle Series No. 1: The Gargoyle and His Quarry, Notre Dame
","variation, detail, variety, twists, difficulty"
166,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Grampo de Barra de Aço Ou Sargento
","depth, difficulty, curves, branches, inhabitants"
167,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Grampo de Barra Ou Sargento
","depth, curves, difficulty, dimensions, variation"
168,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Hacksaw with Blade
","flexibility, pronounced, curves, depth, complicated"
169,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Hand Saw with Blade
","flexibility, flexible, efficient, complicated, pronounced"
170,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or hot glue gun
","flexible, efficient, powerful, expensive, flexibility"
171,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Illumination Software Creator
","efficient, flexibility, flexible, dense, pronounced"
172,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Independent Forest Monitoring
","efficient, flexibility, flexible, dense, complicated"
173,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Inside and Outside Calipers
","dense, slender, pronounced, flexible, branched"
174,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or key to amend wire
","complicated, flexibility, efficient, flexible, powerful"
175,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Kit with Chopsticks and Knife- Souvenir Trade
","colorful, elaborate, expensive, decorative, ornate"
176,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Knife for Chopstick and Knife Kit -Souvenir Trade
","flexibility, elaborate, expensive, complicated, detailed"
177,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Knife for Kit with Chopsticks and Knife- Souvenir Trade
","expensive, elaborate, colorful, flexible, flexibility"
178,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Knipex pliers wrenches
","flexible, complicated, flexibility, efficient, curved"
179,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Laser line level
","efficient, narrow, vertical, flexibility, dense"
180,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Logistics Support System
","efficient, flexible, powerful, flexibility, complicated"
181,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or L-shaped metal tool
","flexible, curved, complicated, rounded, efficient"
182,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or match making equipment
","efficient, expensive, flexible, flexibility, powerful"
183,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or matrix screen printing
","flexible, efficient, expensive, flexibility, complicated"
184,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Mesa de Torno
","flexibility, depth, difficulty, curves, pronounced"
185,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Mesohabitat Simulation Model
","complex, efficient, complicated, stable, flexible"
186,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Metal tool with eye hole
","flexible, efficient, curved, complicated, powerful"
187,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Noah's Ark: Ten Mezzotints by Avati
","elaborate, detail, layers, depth, variation"
188,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or open source hardware
","powerful, expensive, efficient, robust, advanced"
189,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Paint Box of Vizier Amenemope
","complicated, slender, layers, complex, dimensions"
190,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Pair of Chopsticks
","pronounced, depth, slender, powerful, flexibility"
191,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Palette in the Form of a Fish
","flexibility, pronounced, depth, complicated, curves"
192,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Palette in the Form of a Turtle
","flexibility, pronounced, depth, complicated, curves"
193,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or pan to extend hat
","flexibility, flexible, depth, curved, narrow"
194,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Peça Cilíndrica Rosqueada
","depth, branches, flexibility, layers, curves"
195,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Personal Composite Instrument
","flexible, dense, pronounced, slender, flexibility"
196,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Pin for Hat
","flexibility, pronounced, depth, curves, than"
197,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or plug and feather
","flexible, slender, dense, narrow, robust"
198,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Pointed Bone Tool
","pronounced, slender, dense, flexible, rounded"
199,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Press cake breakers
","efficient, flexible, flexibility, complicated, expensive"
200,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or push button applicator
","flexible, powerful, efficient, flexibility, robust"
201,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Rock Abrasion Tool
","flexibility, flexible, efficient, dense, pronounced"
202,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Roda de Polir
","branches, depth, inhabitants, curves, difficulty"
203,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or roll smoke trouble
","efficient, dense, powerful, flexibility, smoke"
204,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Rolo de Correia
","depth, branches, difficulty, curves, pronounced"
205,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or rotary printing press
","efficient, flexible, compact, expensive, convenient"
206,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Search and Rescue Transponder
","efficient, powerful, flexibility, depth, dense"
207,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Serra de Arco
","depth, curves, flexibility, difficulty, layers"
208,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Set of Calligraphers' Tools
","elaborate, complicated, curved, dense, detailed"
209,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Set of Engraver's Tools
","detail, details, illustrations, detailed, elaborate"
210,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Small bag of tool ends of iron
","flexible, efficient, narrow, thick, slender"
211,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Soquete de Pedreiro
","depth, curves, branches, inhabitants, difficulty"
212,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or stainless steel soap
","flexible, efficient, expensive, lightweight, polished"
213,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Straw Splitting Tool
","pronounced, flexibility, dense, slender, narrow"
214,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Talus or Die
","pronounced, flexibility, slender, branches, depth"
215,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Tap and die
","flexibility, layers, holes, efficient, complexity"
216,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or Taper insertion pin
","flexible, flexibility, efficient, complicated, robust"
217,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or test pliers hull
","efficient, flexible, powerful, robust, complicated"
218,"Which is longer, and thus has more [MASK], Apollo Lunar Surface Drill or textile arts tool
","flexibility, flexible, efficient, complicated, elaborate"
