,Masked Sentence,Prediction
230,"Which is wider, and thus has more [MASK], Andiron or Argolas
","branches, curves, bays, dimensions, vowels"
231,"Which is wider, and thus has more [MASK], Andiron or Armário
","subdivisions, branches, streets, bays, varieties"
232,"Which is wider, and thus has more [MASK], Andiron or Armchair
","curves, rounded, branches, flexibility, slender"
233,"Which is wider, and thus has more [MASK], Andiron or armrest
","claws, arms, legs, wings, branches"
234,"Which is wider, and thus has more [MASK], Andiron or Athénienne
","varieties, branches, subdivisions, curves, edges"
235,"Which is wider, and thus has more [MASK], Andiron or Baú
","vowels, branches, curves, edges, rounded"
236,"Which is wider, and thus has more [MASK], Andiron or bank
","branches, curves, dimensions, depth, space"
237,"Which is wider, and thus has more [MASK], Andiron or bed
","depth, rounded, space, curves, room"
238,"Which is wider, and thus has more [MASK], Andiron or bier
","edges, curves, branches, sides, diameter"
239,"Which is wider, and thus has more [MASK], Andiron or binder
","flexibility, flexible, fibers, edges, layers"
240,"Which is wider, and thus has more [MASK], Andiron or bonnetière
","curves, rounded, width, narrow, hair"
241,"Which is wider, and thus has more [MASK], Andiron or Bookcase
","rounded, pronounced, narrow, slender, curves"
242,"Which is wider, and thus has more [MASK], Andiron or Cômoda
","branches, curves, vowels, edges, flexibility"
243,"Which is wider, and thus has more [MASK], Andiron or Cômoda-Lavatório
","branches, subdivisions, beaches, tributaries, inhabitants"
244,"Which is wider, and thus has more [MASK], Andiron or Cabide
","flexibility, flexible, diameter, edges, layers"
245,"Which is wider, and thus has more [MASK], Andiron or Cabinet
","rounded, branches, curves, diameter, dimensions"
246,"Which is wider, and thus has more [MASK], Andiron or cabinet-library
","spacious, elaborate, modern, room, library"
247,"Which is wider, and thus has more [MASK], Andiron or cabinetry
","furniture, cabinets, rooms, drawers, windows"
248,"Which is wider, and thus has more [MASK], Andiron or Cabinet-vitrine
","soluble, stable, flexibility, α, sodium"
249,"Which is wider, and thus has more [MASK], Andiron or Cama
","branches, curves, dimensions, edges, layers"
250,"Which is wider, and thus has more [MASK], Andiron or Candelabrum
","branches, horns, dimensions, diameter, lobes"
251,"Which is wider, and thus has more [MASK], Andiron or Candlestick
","branches, curves, holes, flexibility, rounded"
252,"Which is wider, and thus has more [MASK], Andiron or Candlesticks
","rounded, flexible, curved, slender, elaborate"
253,"Which is wider, and thus has more [MASK], Andiron or caning
","flexibility, branches, curves, rounded, edges"
254,"Which is wider, and thus has more [MASK], Andiron or canterbury
","branches, curves, rounded, seats, than"
255,"Which is wider, and thus has more [MASK], Andiron or Casket
","branches, curves, depth, flexibility, dimensions"
256,"Which is wider, and thus has more [MASK], Andiron or Cellarette
","curves, branches, rounded, narrow, bays"
257,"Which is wider, and thus has more [MASK], Andiron or chair
","seats, rounded, legs, seating, space"
258,"Which is wider, and thus has more [MASK], Andiron or chest
","rounded, branches, ribs, lobes, wings"
259,"Which is wider, and thus has more [MASK], Andiron or chesterfield
","branches, curves, sides, bays, seats"
260,"Which is wider, and thus has more [MASK], Andiron or Chest-on-Chest
","pronounced, narrow, branches, rounded, than"
261,"Which is wider, and thus has more [MASK], Andiron or chifforobe
","branches, flexibility, edges, varieties, curves"
262,"Which is wider, and thus has more [MASK], Andiron or chigaidana
","branches, vowels, flexibility, consonants, curves"
263,"Which is wider, and thus has more [MASK], Andiron or Clock
","curves, dimensions, branches, diameter, rounded"
264,"Which is wider, and thus has more [MASK], Andiron or closet
","rounded, branches, dimensions, curves, depth"
265,"Which is wider, and thus has more [MASK], Andiron or closet-showcase
","flexible, narrow, compact, rounded, elaborate"
266,"Which is wider, and thus has more [MASK], Andiron or coffin
","rounded, curves, branches, dimensions, edges"
267,"Which is wider, and thus has more [MASK], Andiron or Cofre
","branches, curves, dimensions, edges, vertices"
268,"Which is wider, and thus has more [MASK], Andiron or Commode
","symmetry, flexibility, lobes, diameter, rings"
269,"Which is wider, and thus has more [MASK], Andiron or conversadeira
","branches, dimensions, subdivisions, flexibility, edges"
270,"Which is wider, and thus has more [MASK], Andiron or couch
","rounded, curves, edges, dimensions, branches"
271,"Which is wider, and thus has more [MASK], Andiron or counter
","edges, symmetry, rounded, curves, squares"
272,"Which is wider, and thus has more [MASK], Andiron or countertop
","rounded, square, squares, curves, flexibility"
273,"Which is wider, and thus has more [MASK], Andiron or Cupboard
","rounded, fins, flexibility, flexible, depth"
274,"Which is wider, and thus has more [MASK], Andiron or desk
","rounded, curves, branches, dimensions, edges"
275,"Which is wider, and thus has more [MASK], Andiron or Dossel
","symmetry, edges, vertices, dimensions, curves"
276,"Which is wider, and thus has more [MASK], Andiron or Dressers
","curves, branches, dimensions, holes, bends"
277,"Which is wider, and thus has more [MASK], Andiron or duchess
","variations, than, variants, curves, variation"
278,"Which is wider, and thus has more [MASK], Andiron or Enzi
","vowels, curves, edges, branches, varieties"
279,"Which is wider, and thus has more [MASK], Andiron or Escrivaninha
","branches, curves, depth, dimensions, layers"
280,"Which is wider, and thus has more [MASK], Andiron or Estalo
","rounded, branches, curves, pronounced, narrow"
281,"Which is wider, and thus has more [MASK], Andiron or Estante
","branches, dimensions, curves, symmetry, vertices"
282,"Which is wider, and thus has more [MASK], Andiron or Estrado
","branches, curves, subdivisions, dimensions, width"
