,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
32,"Which is brighter and thus has a higher [MASK], lamp or bulb?",No,Yes,brightness,temperature,brightness,rainfall,intensity,rating
33,"Which has a higher population, and thus more [MASK], San Francisco or New York?",No,Yes,populous,humid,populous,affluent,prosperous,healthy
34,"Which has a higher population, and thus more [MASK], Mumbai or New Delhi?",No,Yes,populous,humid,prosperous,populous,affluent,healthy
35,"Who has a higher wealth and is thus more [MASK], Bill Gates or Satya Nadella?",No,Yes,wealthy,healthy,wealthy,prosperous,affluent,educated
36,"Who is richer and thus has more [MASK], Bill Gates or Satya Nadella?",Yes,Yes,wealth,wealth,rainfall,prosperity,money,income
37,"What is hotter, and thus has a higher [MASK], sun or moon?",Yes,Yes,temperature,temperature,rainfall,heat,humidity,coefficient
38,"Which has a higher tensile strength, and thus is more [MASK], glass or plastic?",No,No,durable,tough,healthy,strong,lightweight,humid
39,"Which is brighter, and thus has more [MASK], a candle or a bulb?",No,Yes,brightness,light,brightness,power,rainfall,energy
40,"Which is more nutritious, and thus more [MASK], pizza or broccoli?",Yes,Yes,healthy,healthy,delicious,good,human,living
41,"Which is more nutritious, and thus more [MASK], coke or pizza?",Yes,Yes,healthy,healthy,good,human,delicious,sick
42,"Which is more wider, and thus has more [MASK], suitcase or bag?",Yes,Yes,width,width,length,wider,weight,height
43,"Which has a higher cost of living, and is thus more [MASK], San Francisco or New York?",No,No,expensive,healthy,humid,prosperous,affluent,wealthy
44,"Which is longer and thus has more [MASK], bed or table?",Yes,Yes,length,length,weight,width,longer,rainfall
45,"Who is older and thus has more [MASK], Jeff Bezos or Satya Nadella?",No,Yes,age,rainfall,weight,age,food,wealth
46,"Who is older and thus has more [MASK], Donald Trump or Satya Nadella?",No,Yes,age,weight,rainfall,age,wealth,offspring
47,"Who was born earlier, and is thus [MASK], Narendra Modi or Rahul Gandhi?",Yes,Yes,older,older,younger,more,healthy,born
48,"Who is taller and thus has a greater [MASK], a giraffe or a spider?",No,Yes,height,weight,height,stature,length,strength
49,"Who is taller and thus has a greater [MASK], apple tree or mango tree?",Yes,Yes,height,height,weight,width,stature,length
