,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
37,"What is hotter, and thus has a higher [MASK], sun or moon?",Yes,Yes,temperature,temperature,sun,latitude,moon,altitude
38,"Which has a higher tensile strength, and thus is more [MASK], glass or plastic?",No,No,durable,expensive,flexible,plastic,stable,elastic
39,"Which is brighter, and thus has more [MASK], a candle or a bulb?",No,No,brightness,light,power,energy,candles,illumination
40,"Which is more nutritious, and thus more [MASK], pizza or broccoli?",No,No,healthy,expensive,delicious,sweet,popular,cheap
41,"Which is more nutritious, and thus more [MASK], coke or pizza?",No,No,healthy,expensive,sweet,delicious,cheap,sour
42,"Which is more wider, and thus has more [MASK], suitcase or bag?",No,No,width,luggage,baggage,room,suitcase,bag
43,"Which has a higher cost of living, and is thus more [MASK], San Francisco or New York?",Yes,Yes,expensive,expensive,affordable,efficient,economical,convenient
44,"Which is longer and thus has more [MASK], bed or table?",No,No,length,room,beds,rooms,bed,chairs
45,"Who is older and thus has more [MASK], Jeff Bezos or Satya Nadella?",No,No,age,siblings,children,relatives,sisters,followers
46,"Who is older and thus has more [MASK], Donald Trump or Satya Nadella?",No,No,age,siblings,children,relatives,sisters,questions
47,"Who was born earlier, and is thus [MASK], Narendra Modi or Rahul Gandhi?",No,No,older,named,called,unknown,mentioned,identified
48,"Who is taller and thus has a greater [MASK], a giraffe or a spider?",No,No,height,wingspan,size,tail,body,stature
49,"Who is taller and thus has a greater [MASK], apple tree or mango tree?",No,Yes,height,trunk,canopy,tree,height,diameter
