,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
36,One - third of all Hong Kong 's beaches are to be found in a single 14 - km ( 9 - mile ) stretch of this [MASK] 's shoreline .,No,No,Region,city,status,in,from,kingdom
37,"Further analyses , correcting the number of overall publications for the amount of money invested in research and development for each [MASK] , also show that , in contrast to both Canada and United States , the trend in Latin America has been an increase in relative output throughout the 1990s ( Figure 2 ) .",No,No,Region,",",in,##ha,fu,##cha
38,Several forest fires which have ruined well over ten thousand hectares of land are continuing to burn in the Spanish [MASK] of Galicia today .,No,No,Region,city,kingdom,-,",",united
39,"In southern Greece today , huge forest fires continue to burn on destroying homes and causing severe damage to the [MASK] .",No,No,Region,[SEP],[CLS],which,the,and
40,"The [MASK] of the Temple eventually became identified as Mt. Moriah , on which it stood , where Abraham was called to sacrifice his son Isaac .",No,No,Site,",",city,status,is,which
41,"She found that the city 's most beautiful Roman temple , dedicated to the goddess Aphrodite , stood on the [MASK] of the crucifixion .",No,No,Site,from,##s,",",status,kidney
42,"The rock on the Temple Mount from which he ascended , at or close to the [MASK] of the ruined Temple , was commemorated by the construction of the Dome of the Rock in 691 .",No,No,Site,from,city,status,##s,","
43,"The magnificent frescoes and mosaics found at Akrotiri are in Athens at present , but the remains of the buildings at the [MASK] provide ample evidence of the sophistication of the culture here .",No,No,Site,[SEP],[CLS],which,the,'
44,"Both the Las Vegas Aerial Gunnery School ( which became Nellis Air Force Base and the Nevada Test [MASK] ) in the north , and Basic Magnesium in the nearby town of Henderson , arrived in the early 1940s as a result of America 's war effort .",No,No,Site,##u,##ha,##o,##ung,##ak
45,"Beyond , in the New Territories , are a mixture of high-rise suburban towns , ancient [MASK] and walled villages , country parks , and farms with ducks and fish ponds .",No,No,Sites,##s,",",faces,food,stall
46,"One of the most interesting [MASK] in the New Territories is Tai Fu Tai , another rare survivor , this one a mansion that belonged to a Confucian high official .",No,No,Sites,",",is,in,##ious,##u
47,"The highway and the railway stay close together from Fanling , [MASK] of the best golf courses in the area .",No,No,Site,more,city,cu,the,which
48,"Sha Tin is the [MASK] of the Monastery of 10,000 Buddhas , which looks down on a burgeoning town .",No,No,Site,",",status,in,city,##ious
49,"The most famous [MASK] on the island is the world 's tallest seated bronze statue of Buddha at 22 m ( 72.6 ft ) , the Tiantan Buddha ( see page 55 ) .",No,No,Site,",",fu,is,in,##ious
50,The hillsides that surround the monastery are the [MASK] of Hong Kong 's only tea plantation .,No,No,Site,city,more,from,status,","
51,Firefighters reported concern about a tower crane overhanging the building basement [MASK] .,No,No,Site,roll,status,##s,##ing,class
52,"About 50 per cent of the companies in the [MASK] are engaged in manufacturing , 7 per cent in retailing and 16 per cent in distribution , although there is considerable inter-zone variation .",No,No,Zone,city,[PAD],united,-,from
53,"In Managua , there was some in-migration from rural war [MASK] , particularly in the mid- 1980s , straining infrastructure and social services , including education .",No,No,Zones,##s,city,##ce,##e,from
54,According to Soviet commentaries the United States ' commitment to these bases underlay its warnings to the ASEAN countries against pursuing the idea of a nuclear-free [MASK] in Southeast Asia .,No,No,Zone,",",status,-,more,city
55,This small Caledonian gabbroic intrusion contains ilmenite- and titanomagnetite-enriched [MASK] in part of an east-west trending complex close to the contact with an earlier acid granophyre body .,No,No,Zones,",",food,weight,fish,##s
56,"The heart of Paris , around the Louvre and the Hotel de Ville , would be entirely reorganised with pedestrian [MASK] , one-way systems and extra bus routes .",No,No,Zones,",",##s,##rit,more,in
57,NOAA-7 covers Japan 's 200-mile ( 370-km ) fishing [MASK] five times a day .,No,No,Zone,",",##s,city,-,##ious
58,There would be freedom of movement between the [MASK] and limited settlement rights .,No,No,Zones,",",-,the,of,more
59,Cu -Ni sulphide mineralisation was discovered near Huntly ( Littlemill [MASK] ) and Ellon ( Arthrath-Dudwick zone ) in Caledonian norites contaminated by pyritic and graphitic Dalradian sediments .,No,No,Zone,##e,##i,##u,##o,##g
60,Conventional welding gives you a very large heat affected [MASK] and that can distort the material or alter its properties in some way and potentially damage or weaken a structure .,No,No,Zone,",",##ious,is,more,##s
61,But feminist groups fighting for the right of women soldiers to be in combat [MASK] criticised the figures .,No,No,Zones,",",##u,-,in,and
62,Somerset then cleared a buffer [MASK] east of the Fish river ; but a later decision to allow a military settlement there ensured further conflict .,No,No,Zone,",",status,more,##g,##ce
63,"Sites would also need to be chosen so that , if wastes did escape , currents would not carry radioactive material too swiftly into [MASK] of human activity .",No,No,Zones,city,",",sports,united,bi
64,"During the pressing operation , the first juice to emerge from a grape is called the cuvée and it comes from the central [MASK] of pulp .",No,No,Zone,##s,##y,more,-,of
65,"More reference material is to be found in the 1991 Almanac which gives useful charts and lists of celestial events , units of weights , holidays , world time [MASK] and so on .",No,No,Zones,",",##s,in,##od,from
66,An argument-free [MASK] was to be established in the Cabinet Room .,No,No,Zone,",",status,##ious,is,in
67,The environmental factors which produce arrested larvae in subtropical [MASK] are not yet known .,No,No,Zones,",",##s,-,is,##te
68,"Now that attitude is changing , most obviously on the West Coast , which has more money than other earthquake [MASK] to experiment with new designs and materials .",No,No,Zones,",",and,##s,more,-
69,Firms within the [MASK] seem to have been doing better than equivalent companies elsewhere .,No,No,Zones,city,united,",",[PAD],-
70,"In 1996 , it had signed the Treaty of Pelindaba which established a nuclear-weapon-free [MASK] in Africa .",No,No,Zone,",",status,-,more,city
71,North Korea also has placed thousands of artillery systems -- including multiple launch rocket systems that are particularly effective for CW delivery -- within reach of the Demilitarized [MASK] ( DMZ ) and Seoul .,No,No,Zone,##g,##u,##s,##k,##ng
72,A third approach might be a regional effort on the part of Arab states to pressure Iran to abandon sensitive technology and questionable activities in favor of a weapons - free [MASK] in the Middle East .,No,No,Zone,",",status,more,-,city
73,"The e-commerce free [MASK] is situated in north Dubai , near the industrial free zone in Jebel Ali , the top regional and tenth international leading area in container transit .",No,No,Zone,##a,##s,##er,##ce,##ed
74,"The e-commerce free zone is situated in north Dubai , near the industrial free [MASK] in Jebel Ali , the top regional and tenth international leading area in container transit .",No,No,Zone,##s,##g,##ce,-,##k
75,"He said that it would he possible for the companies working in the electronic trade sector to make Dubai their headquarters , and to establish offices here and provide employment and own machinery in the [MASK] opened to companies fully owned by the foreigners .",No,No,Zone,city,[PAD],",",status,s
76,"If the location is in a highly dangerous [MASK] , then two parallel fences should be built to be 3 meters apart .",No,No,Zone,",",##ious,city,status,is
77,"During his stay in Iraq , he will visit several places , including hospitals and schools , in Baghdad and southern Iraq , where the U.S. and Britain imposed a no-fly [MASK] , with the claimed aim of protecting Shi 'ite Muslims from possible attacks by Iraqi government .",No,No,Zone,##g,##ious,",",status,##ha
78,"Bombing targets in the no-fly [MASK] in southern and northern Iraq by U.S. and British warplanes have almost become a daily occurrence , causing serious civilian casualties .",No,No,Zones,",",-,##ious,city,status
79,"Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade [MASK] which has been named `` Dubai Internet City ''",No,No,Zone,",",##o,##u,##rit,##i
80,"The electronic trade free trade [MASK] is situated in the north of Dubai , close to the free industrial zone in Jabal Ali Mountain , an area which is considered to be the first in the country , and tenth in the world for transit movement .",No,No,Zone,",",city,more,##ious,status
81,"The electronic trade free trade zone is situated in the north of Dubai , close to the free industrial [MASK] in Jabal Ali Mountain , an area which is considered to be the first in the country , and tenth in the world for transit movement .",No,No,Zone,",",-,##s,##o,##k
82,Inauguration of free [MASK] in Dubai for e-commerce .,No,No,Zone,",",##er,more,in,##ing
83,"Dubai 's Crown Prince Sheikh Mohamed Bin Rashid Al Maktoum inaugurated a free [MASK] for e-commerce today , called Dubai Internet City .",No,No,Zone,",",-,in,from,status
84,"A Turbo Cat ferry makes a one - hour trip ( 7 am s 7 pm ) from Hong Kong 's Macau Ferry Terminal to Shekou on the Natau Peninsula , which is part of the economic [MASK] .",No,No,Zone,",",city,-,##u,##s
85,"Macau , now the Chinese Special Economic [MASK] of Zhuhai , is becoming something like a boomtown as an exporter of toys , furniture , and electronics .",No,No,Zone,",",-,##ious,##vi,##k
