,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
18,"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own "" <mask> "" of ringers , who would herald every Sunday morning and evening service .",No,No,Band,choir,band,orchestra,corps,chorus
19,""" Ringing does become a bit of an obsession , '' admits Stephanie Pattenden , master of the <mask> at St. Mary Abbot and one of England 's best female ringers .",No,No,Band,bells,bell,choir,band,organ
20,"Two years ago , the Rev. Jeremy Hummerstone , vicar of Great Torrington , Devon , got so fed up with ringers who did n't attend service he sacked the entire <mask> ; the ringers promptly set up a picket line in protest .",No,No,Band,choir,staff,group,congregation,band
21,"An entirely new <mask> rings today at Great Torrington , several of whom are members of the congregation .",No,No,Band,choir,voice,band,generation,bell
22,A double <mask> of white shells were strung round the centre of it .,No,No,Band,row,strand,line,string,rope
23,"Iran is motivated by its aspirations for political , religious , and military leadership in the <mask> , unlike North Korea , for whom mere survival appears to be the priority .",No,No,Region,region,world,East,area,Gulf
24,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel and US forces deployed in the <mask> .",No,No,Region,region,area,Gulf,country,vicinity
25,"Iranian Defense and Foreign Ministry officials continue to defend Iran 's right to protect itself from potential threats in the <mask> , while denying any ill intent towards countries such as the United States .",No,No,Region,region,West,world,Gulf,area
26,"Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea <mask> .",No,No,Regions,regions,region,areas,countries,states
27,"Iran has a stockpile of these weapons , including artillery shells and bombs , which could be used in another conflict in the <mask> .",No,No,Region,region,Gulf,future,country,area
28,Maintenance and expansion of Sino - Iranian relations naturally constitutes an important component of Chinese strategy in extending its influence to the <mask> .,No,No,Region,region,East,east,West,west
29,"Conversely , the US regards Iran as a rogue state that sponsors international terrorism ( including support for terrorists targeting the United States ) and seeks to subvert US allies in the <mask> .",No,No,Region,region,world,Gulf,West,East
30,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel , and US forces deployed in the <mask> .",No,No,Region,region,Gulf,area,country,vicinity
31,Libya claims it will not sign the CWC as long as other countries in the <mask> possess NBC weapons .,No,No,Region,region,area,group,coalition,conflict
32,"In the 1960s , Ferndale resident Jack Alderson commanded a group of light tugs that made trips to the islands that last week were declared a monument , as well as other remote atolls in the <mask> .",No,No,Region,Pacific,area,Philippines,region,Caribbean
33,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the <mask> by trade and diplomacy .",No,No,Region,Mediterranean,region,world,area,island
34,"In the wake of this tremendous natural upheaval , the Aegean Islands next came under the influence of the Mycenaeans ( at around 1300 b.c. ) , who had a base in the Peloponnese <mask> of the Greek mainland .",No,No,Region,region,area,peninsula,province,Peninsula
35,"Greece moved in to administer the land , but a new influence upset any grand dreams of making this <mask> a part of greater Greece .",No,No,Region,land,region,area,island,territory
36,One - third of all Hong Kong 's beaches are to be found in a single 14 - km ( 9 - mile ) stretch of this <mask> 's shoreline .,No,No,Region,city,island,territory,province,region
37,"Further analyses , correcting the number of overall publications for the amount of money invested in research and development for each <mask> , also show that , in contrast to both Canada and United States , the trend in Latin America has been an increase in relative output throughout the 1990s ( Figure 2 ) .",No,No,Region,country,region,nation,year,economy
38,Several forest fires which have ruined well over ten thousand hectares of land are continuing to burn in the Spanish <mask> of Galicia today .,No,Yes,Region,region,province,area,Region,department
39,"In southern Greece today , huge forest fires continue to burn on destroying homes and causing severe damage to the <mask> .",No,No,Region,infrastructure,economy,countryside,environment,landscape
40,"The <mask> of the Temple eventually became identified as Mt. Moriah , on which it stood , where Abraham was called to sacrifice his son Isaac .",No,No,Site,site,location,name,setting,place
41,"She found that the city 's most beautiful Roman temple , dedicated to the goddess Aphrodite , stood on the <mask> of the crucifixion .",No,No,Site,site,spot,scene,place,location
42,"The rock on the Temple Mount from which he ascended , at or close to the <mask> of the ruined Temple , was commemorated by the construction of the Dome of the Rock in 691 .",No,No,Site,site,location,ruins,base,foot
43,"The magnificent frescoes and mosaics found at Akrotiri are in Athens at present , but the remains of the buildings at the <mask> provide ample evidence of the sophistication of the culture here .",No,No,Site,site,island,monastery,time,palace
44,"Both the Las Vegas Aerial Gunnery School ( which became Nellis Air Force Base and the Nevada Test <mask> ) in the north , and Basic Magnesium in the nearby town of Henderson , arrived in the early 1940s as a result of America 's war effort .",No,Yes,Site,Range,Site,Facility,Center,Station
45,"Beyond , in the New Territories , are a mixture of high-rise suburban towns , ancient <mask> and walled villages , country parks , and farms with ducks and fish ponds .",No,No,Sites,cities,castles,towns,villages,temples
46,"One of the most interesting <mask> in the New Territories is Tai Fu Tai , another rare survivor , this one a mansion that belonged to a Confucian high official .",No,No,Sites,sites,buildings,places,ruins,structures
47,"The highway and the railway stay close together from Fanling , <mask> of the best golf courses in the area .",No,No,Site,one,home,ne,some,site
48,"Sha Tin is the <mask> of the Monastery of 10,000 Buddhas , which looks down on a burgeoning town .",No,No,Site,site,location,name,home,seat
49,"The most famous <mask> on the island is the world 's tallest seated bronze statue of Buddha at 22 m ( 72.6 ft ) , the Tiantan Buddha ( see page 55 ) .",No,No,Site,attraction,landmark,monument,statue,object
50,The hillsides that surround the monastery are the <mask> of Hong Kong 's only tea plantation .,No,No,Site,site,home,location,remains,scene
51,Firefighters reported concern about a tower crane overhanging the building basement <mask> .,No,No,Site,,area,entrance,,level
52,"About 50 per cent of the companies in the <mask> are engaged in manufacturing , 7 per cent in retailing and 16 per cent in distribution , although there is considerable inter-zone variation .",No,No,Zone,sector,country,region,zone,market
53,"In Managua , there was some in-migration from rural war <mask> , particularly in the mid- 1980s , straining infrastructure and social services , including education .",No,No,Zones,zones,areas,ords,ing,zone
54,According to Soviet commentaries the United States ' commitment to these bases underlay its warnings to the ASEAN countries against pursuing the idea of a nuclear-free <mask> in Southeast Asia .,No,No,Zone,zone,region,world,area,state
55,This small Caledonian gabbroic intrusion contains ilmenite- and titanomagnetite-enriched <mask> in part of an east-west trending complex close to the contact with an earlier acid granophyre body .,No,No,Zones,rocks,material,quartz,grains,sediment
56,"The heart of Paris , around the Louvre and the Hotel de Ville , would be entirely reorganised with pedestrian <mask> , one-way systems and extra bus routes .",No,No,Zones,bridges,zones,tunnels,crossings,streets
57,NOAA-7 covers Japan 's 200-mile ( 370-km ) fishing <mask> five times a day .,No,No,Zone,zone,grounds,zones,waters,area
58,There would be freedom of movement between the <mask> and limited settlement rights .,No,No,Zones,settlements,territories,islands,states,camps
59,Cu -Ni sulphide mineralisation was discovered near Huntly ( Littlemill <mask> ) and Ellon ( Arthrath-Dudwick zone ) in Caledonian norites contaminated by pyritic and graphitic Dalradian sediments .,No,Yes,Zone,zone,Zone,zones,te,area
60,Conventional welding gives you a very large heat affected <mask> and that can distort the material or alter its properties in some way and potentially damage or weaken a structure .,No,No,Zone,area,,surface,region,process
61,But feminist groups fighting for the right of women soldiers to be in combat <mask> criticised the figures .,No,No,Zones,have,also,immediately,strongly,
62,Somerset then cleared a buffer <mask> east of the Fish river ; but a later decision to allow a military settlement there ensured further conflict .,No,No,Zone,zone,area,just,strip,line
63,"Sites would also need to be chosen so that , if wastes did escape , currents would not carry radioactive material too swiftly into <mask> of human activity .",No,No,Zones,areas,zones,centers,places,sites
64,"During the pressing operation , the first juice to emerge from a grape is called the cuvée and it comes from the central <mask> of pulp .",No,No,Zone,layer,region,area,part,portion
65,"More reference material is to be found in the 1991 Almanac which gives useful charts and lists of celestial events , units of weights , holidays , world time <mask> and so on .",No,No,Zones,,,zones,(),zone
66,An argument-free <mask> was to be established in the Cabinet Room .,No,No,Zone,zone,environment,atmosphere,space,area
67,The environmental factors which produce arrested larvae in subtropical <mask> are not yet known .,No,No,Zones,forests,regions,climates,areas,environments
68,"Now that attitude is changing , most obviously on the West Coast , which has more money than other earthquake <mask> to experiment with new designs and materials .",No,No,Zones,zones,regions,areas,centers,victims
69,Firms within the <mask> seem to have been doing better than equivalent companies elsewhere .,No,No,Zones,US,UK,sector,EU,region
70,"In 1996 , it had signed the Treaty of Pelindaba which established a nuclear-weapon-free <mask> in Africa .",No,Yes,Zone,zone,area,Zone,region,zones
71,North Korea also has placed thousands of artillery systems -- including multiple launch rocket systems that are particularly effective for CW delivery -- within reach of the Demilitarized <mask> ( DMZ ) and Seoul .,Yes,Yes,Zone,Zone,zone,Area,Region,Line
72,A third approach might be a regional effort on the part of Arab states to pressure Iran to abandon sensitive technology and questionable activities in favor of a weapons - free <mask> in the Middle East .,No,No,Zone,zone,region,environment,space,future
73,"The e-commerce free <mask> is situated in north Dubai , near the industrial free zone in Jebel Ali , the top regional and tenth international leading area in container transit .",No,No,Zone,zone,one,area,market,zones
74,"The e-commerce free zone is situated in north Dubai , near the industrial free <mask> in Jebel Ali , the top regional and tenth international leading area in container transit .",No,Yes,Zone,zone,zones,one,area,Zone
75,"He said that it would he possible for the companies working in the electronic trade sector to make Dubai their headquarters , and to establish offices here and provide employment and own machinery in the <mask> opened to companies fully owned by the foreigners .",No,No,Zone,sectors,zones,market,areas,markets
76,"If the location is in a highly dangerous <mask> , then two parallel fences should be built to be 3 meters apart .",No,No,Zone,area,environment,zone,location,place
77,"During his stay in Iraq , he will visit several places , including hospitals and schools , in Baghdad and southern Iraq , where the U.S. and Britain imposed a no-fly <mask> , with the claimed aim of protecting Shi 'ite Muslims from possible attacks by Iraqi government .",No,No,Zone,zone,order,area,ban,mission
78,"Bombing targets in the no-fly <mask> in southern and northern Iraq by U.S. and British warplanes have almost become a daily occurrence , causing serious civilian casualties .",No,No,Zones,zone,zones,areas,area,Zone
79,"Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade <mask> which has been named `` Dubai Internet City ''",No,No,Zone,zone,area,hub,center,market
80,"The electronic trade free trade <mask> is situated in the north of Dubai , close to the free industrial zone in Jabal Ali Mountain , an area which is considered to be the first in the country , and tenth in the world for transit movement .",No,No,Zone,zone,area,center,centre,zones
81,"The electronic trade free trade zone is situated in the north of Dubai , close to the free industrial <mask> in Jabal Ali Mountain , an area which is considered to be the first in the country , and tenth in the world for transit movement .",No,No,Zone,zone,area,zones,park,areas
82,Inauguration of free <mask> in Dubai for e-commerce .,No,No,Zone,zones,zone,market,parking,mall
83,"Dubai 's Crown Prince Sheikh Mohamed Bin Rashid Al Maktoum inaugurated a free <mask> for e-commerce today , called Dubai Internet City .",No,No,Zone,zone,hub,center,area,centre
84,"A Turbo Cat ferry makes a one - hour trip ( 7 am s 7 pm ) from Hong Kong 's Macau Ferry Terminal to Shekou on the Natau Peninsula , which is part of the economic <mask> .",No,No,Zone,zone,district,enclave,area,island
85,"Macau , now the Chinese Special Economic <mask> of Zhuhai , is becoming something like a boomtown as an exporter of toys , furniture , and electronics .",Yes,Yes,Zone,Zone,Region,Area,Port,District
