,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
20,"Two years ago , the Rev. Jeremy Hummerstone , vicar of Great Torrington , Devon , got so fed up with ringers who did n't attend service he sacked the entire [MASK] ; the ringers promptly set up a picket line in protest .",No,No,Band,congregation,church,vicar,parish,clergy
21,"An entirely new [MASK] rings today at Great Torrington , several of whom are members of the congregation .",No,No,Band,congregation,chapel,church,fellowship,membership
22,A double [MASK] of white shells were strung round the centre of it .,No,No,Band,ring,circle,band,string,row
23,"Iran is motivated by its aspirations for political , religious , and military leadership in the [MASK] , unlike North Korea , for whom mere survival appears to be the priority .",No,No,Region,region,country,world,nation,future
24,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel and US forces deployed in the [MASK] .",No,No,Region,region,country,area,past,conflict
25,"Iranian Defense and Foreign Ministry officials continue to defend Iran 's right to protect itself from potential threats in the [MASK] , while denying any ill intent towards countries such as the United States .",No,No,Region,future,region,conflict,country,past
26,"Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea [MASK] .",No,No,Regions,regions,##lands,areas,region,waters
27,"Iran has a stockpile of these weapons , including artillery shells and bombs , which could be used in another conflict in the [MASK] .",No,No,Region,future,past,region,country,area
28,Maintenance and expansion of Sino - Iranian relations naturally constitutes an important component of Chinese strategy in extending its influence to the [MASK] .,No,No,Region,west,east,continent,region,mainland
29,"Conversely , the US regards Iran as a rogue state that sponsors international terrorism ( including support for terrorists targeting the United States ) and seeks to subvert US allies in the [MASK] .",No,No,Region,conflict,region,country,process,world
30,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel , and US forces deployed in the [MASK] .",No,No,Region,region,country,area,past,conflict
31,Libya claims it will not sign the CWC as long as other countries in the [MASK] possess NBC weapons .,No,No,Region,world,region,uk,union,us
32,"In the 1960s , Ferndale resident Jack Alderson commanded a group of light tugs that made trips to the islands that last week were declared a monument , as well as other remote atolls in the [MASK] .",No,No,Region,archipelago,vicinity,area,1960s,world
33,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the [MASK] by trade and diplomacy .",No,No,Region,continent,region,world,peninsula,country
34,"In the wake of this tremendous natural upheaval , the Aegean Islands next came under the influence of the Mycenaeans ( at around 1300 b.c. ) , who had a base in the Peloponnese [MASK] of the Greek mainland .",No,No,Region,region,peninsula,islands,coast,mountains
35,"Greece moved in to administer the land , but a new influence upset any grand dreams of making this [MASK] a part of greater Greece .",No,No,Region,area,region,territory,land,province
36,One - third of all Hong Kong 's beaches are to be found in a single 14 - km ( 9 - mile ) stretch of this [MASK] 's shoreline .,No,No,Region,island,country,lagoon,state,city
37,"Further analyses , correcting the number of overall publications for the amount of money invested in research and development for each [MASK] , also show that , in contrast to both Canada and United States , the trend in Latin America has been an increase in relative output throughout the 1990s ( Figure 2 ) .",No,No,Region,discipline,decade,year,sector,country
38,Several forest fires which have ruined well over ten thousand hectares of land are continuing to burn in the Spanish [MASK] of Galicia today .,No,No,Region,forests,regions,areas,parts,countryside
39,"In southern Greece today , huge forest fires continue to burn on destroying homes and causing severe damage to the [MASK] .",No,No,Region,forests,landscape,environment,countryside,ecosystem
40,"The [MASK] of the Temple eventually became identified as Mt. Moriah , on which it stood , where Abraham was called to sacrifice his son Isaac .",No,No,Site,location,site,builder,architect,founder
41,"She found that the city 's most beautiful Roman temple , dedicated to the goddess Aphrodite , stood on the [MASK] of the crucifixion .",No,No,Site,site,top,edge,altar,steps
42,"The rock on the Temple Mount from which he ascended , at or close to the [MASK] of the ruined Temple , was commemorated by the construction of the Dome of the Rock in 691 .",No,No,Site,site,base,top,entrance,foot
43,"The magnificent frescoes and mosaics found at Akrotiri are in Athens at present , but the remains of the buildings at the [MASK] provide ample evidence of the sophistication of the culture here .",No,No,Site,site,baths,monastery,temple,palace
44,"Both the Las Vegas Aerial Gunnery School ( which became Nellis Air Force Base and the Nevada Test [MASK] ) in the north , and Basic Magnesium in the nearby town of Henderson , arrived in the early 1940s as a result of America 's war effort .",No,No,Site,School,depot,Depot,Center,Station
45,"Beyond , in the New Territories , are a mixture of high-rise suburban towns , ancient [MASK] and walled villages , country parks , and farms with ducks and fish ponds .",No,No,Sites,castles,walled,farms,villages,towns
46,"One of the most interesting [MASK] in the New Territories is Tai Fu Tai , another rare survivor , this one a mansion that belonged to a Confucian high official .",No,No,Sites,buildings,houses,sites,residences,structures
47,"The highway and the railway stay close together from Fanling , [MASK] of the best golf courses in the area .",No,No,Site,one,some,two,home,another
48,"Sha Tin is the [MASK] of the Monastery of 10,000 Buddhas , which looks down on a burgeoning town .",No,No,Site,location,site,birthplace,home,seat
49,"The most famous [MASK] on the island is the world 's tallest seated bronze statue of Buddha at 22 m ( 72.6 ft ) , the Tiantan Buddha ( see page 55 ) .",No,No,Site,statue,landmark,structure,monument,sculpture
50,The hillsides that surround the monastery are the [MASK] of Hong Kong 's only tea plantation .,No,No,Site,remnants,site,grounds,location,remains
51,Firefighters reported concern about a tower crane overhanging the building basement [MASK] .,No,No,Site,level,roof,floor,stairs,floors
52,"About 50 per cent of the companies in the [MASK] are engaged in manufacturing , 7 per cent in retailing and 16 per cent in distribution , although there is considerable inter-zone variation .",No,No,Zone,sector,zone,region,country,district
53,"In Managua , there was some in-migration from rural war [MASK] , particularly in the mid- 1980s , straining infrastructure and social services , including education .",No,No,Zones,zones,##ren,areas,##es,##ay
54,According to Soviet commentaries the United States ' commitment to these bases underlay its warnings to the ASEAN countries against pursuing the idea of a nuclear-free [MASK] in Southeast Asia .,No,No,Zone,zone,country,environment,war,nation
55,This small Caledonian gabbroic intrusion contains ilmenite- and titanomagnetite-enriched [MASK] in part of an east-west trending complex close to the contact with an earlier acid granophyre body .,No,No,Zones,rocks,sediments,minerals,deposits,sandstone
56,"The heart of Paris , around the Louvre and the Hotel de Ville , would be entirely reorganised with pedestrian [MASK] , one-way systems and extra bus routes .",No,No,Zones,bridges,crossings,lanes,streets,##s
57,NOAA-7 covers Japan 's 200-mile ( 370-km ) fishing [MASK] five times a day .,No,No,Zone,route,area,trips,coastline,trip
58,There would be freedom of movement between the [MASK] and limited settlement rights .,No,No,Zones,parties,sexes,colonies,tribes,states
59,Cu -Ni sulphide mineralisation was discovered near Huntly ( Littlemill [MASK] ) and Ellon ( Arthrath-Dudwick zone ) in Caledonian norites contaminated by pyritic and graphitic Dalradian sediments .,No,Yes,Zone,zone,##stone,Zone,ridge,hill
60,Conventional welding gives you a very large heat affected [MASK] and that can distort the material or alter its properties in some way and potentially damage or weaken a structure .,No,No,Zone,material,area,component,thickness,layer
61,But feminist groups fighting for the right of women soldiers to be in combat [MASK] criticised the figures .,No,No,Zones,strongly,publicly,openly,also,have
62,Somerset then cleared a buffer [MASK] east of the Fish river ; but a later decision to allow a military settlement there ensured further conflict .,No,No,Zone,zone,area,strip,reserve,ditch
63,"Sites would also need to be chosen so that , if wastes did escape , currents would not carry radioactive material too swiftly into [MASK] of human activity .",No,No,Zones,areas,pockets,zones,centers,sites
64,"During the pressing operation , the first juice to emerge from a grape is called the cuvée and it comes from the central [MASK] of pulp .",No,No,Zone,layer,portion,pulp,section,region
65,"More reference material is to be found in the 1991 Almanac which gives useful charts and lists of celestial events , units of weights , holidays , world time [MASK] and so on .",No,No,Zones,scales,periods,zones,",",tables
66,An argument-free [MASK] was to be established in the Cabinet Room .,No,No,Zone,policy,forum,rule,debate,democracy
67,The environmental factors which produce arrested larvae in subtropical [MASK] are not yet known .,No,No,Zones,forests,waters,regions,rainforest,areas
68,"Now that attitude is changing , most obviously on the West Coast , which has more money than other earthquake [MASK] to experiment with new designs and materials .",No,No,Zones,projects,centres,sites,zones,centers
69,Firms within the [MASK] seem to have been doing better than equivalent companies elsewhere .,No,No,Zones,company,group,industry,organization,consortium
70,"In 1996 , it had signed the Treaty of Pelindaba which established a nuclear-weapon-free [MASK] in Africa .",No,No,Zone,zone,regime,state,country,environment
71,North Korea also has placed thousands of artillery systems -- including multiple launch rocket systems that are particularly effective for CW delivery -- within reach of the Demilitarized [MASK] ( DMZ ) and Seoul .,No,No,Zone,zone,army,Army,fleet,forces
72,A third approach might be a regional effort on the part of Arab states to pressure Iran to abandon sensitive technology and questionable activities in favor of a weapons - free [MASK] in the Middle East .,No,No,Zone,zone,regime,economy,state,policy
73,"The e-commerce free [MASK] is situated in north Dubai , near the industrial free zone in Jebel Ali , the top regional and tenth international leading area in container transit .",No,Yes,Zone,zone,##zone,port,zones,Zone
74,"The e-commerce free zone is situated in north Dubai , near the industrial free [MASK] in Jebel Ali , the top regional and tenth international leading area in container transit .",No,No,Zone,zone,port,zones,market,##port
75,"He said that it would he possible for the companies working in the electronic trade sector to make Dubai their headquarters , and to establish offices here and provide employment and own machinery in the [MASK] opened to companies fully owned by the foreigners .",No,No,Zone,factories,premises,country,sector,territory
76,"If the location is in a highly dangerous [MASK] , then two parallel fences should be built to be 3 meters apart .",No,No,Zone,location,situation,area,environment,zone
77,"During his stay in Iraq , he will visit several places , including hospitals and schools , in Baghdad and southern Iraq , where the U.S. and Britain imposed a no-fly [MASK] , with the claimed aim of protecting Shi 'ite Muslims from possible attacks by Iraqi government .",No,No,Zone,zone,policy,rule,law,ban
78,"Bombing targets in the no-fly [MASK] in southern and northern Iraq by U.S. and British warplanes have almost become a daily occurrence , causing serious civilian casualties .",No,No,Zones,zone,zones,area,areas,Zone
79,"Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade [MASK] which has been named `` Dubai Internet City ''",No,No,Zone,website,initiative,platform,portal,program
80,"The electronic trade free trade [MASK] is situated in the north of Dubai , close to the free industrial zone in Jabal Ali Mountain , an area which is considered to be the first in the country , and tenth in the world for transit movement .",No,No,Zone,zone,centre,center,hub,airport
81,"The electronic trade free trade zone is situated in the north of Dubai , close to the free industrial [MASK] in Jabal Ali Mountain , an area which is considered to be the first in the country , and tenth in the world for transit movement .",No,No,Zone,zone,zones,park,centre,hub
82,Inauguration of free [MASK] in Dubai for e-commerce .,No,No,Zone,software,internet,trade,markets,speech
83,"Dubai 's Crown Prince Sheikh Mohamed Bin Rashid Al Maktoum inaugurated a free [MASK] for e-commerce today , called Dubai Internet City .",No,No,Zone,marketplace,portal,platform,website,market
84,"A Turbo Cat ferry makes a one - hour trip ( 7 am s 7 pm ) from Hong Kong 's Macau Ferry Terminal to Shekou on the Natau Peninsula , which is part of the economic [MASK] .",No,No,Zone,corridor,zone,hub,sector,loop
85,"Macau , now the Chinese Special Economic [MASK] of Zhuhai , is becoming something like a boomtown as an exporter of toys , furniture , and electronics .",No,No,Zone,district,hub,capital,center,city
