,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
16,"Together the <mask> of women wailed and sang out , beating cymbals and drums .",No,No,Band,group,mass,community,gang,majority
17,"Most of the graves were of infants and children , but there were also several dating from the Mutiny when a gallant <mask> of British officers had died defending their women and children .",No,No,Band,number,group,body,succession,company
18,"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own "" <mask> "" of ringers , who would herald every Sunday morning and evening service .",No,No,Band,family,bank,team,battery,gang
19,""" Ringing does become a bit of an obsession , '' admits Stephanie Pattenden , master of the <mask> at St. Mary Abbot and one of England 's best female ringers .",No,No,Band,church,Past,stage,staircase,scales
20,"Two years ago , the Rev. Jeremy Hummerstone , vicar of Great Torrington , Devon , got so fed up with ringers who did n't attend service he sacked the entire <mask> ; the ringers promptly set up a picket line in protest .",No,No,Band,church,staff,congregation,rotation,group
21,"An entirely new <mask> rings today at Great Torrington , several of whom are members of the congregation .",No,No,Band,temperature,climate,,rainfall,colour
22,A double <mask> of white shells were strung round the centre of it .,No,No,Band,strand,bed,deck,dozen,shelf
23,"Iran is motivated by its aspirations for political , religious , and military leadership in the <mask> , unlike North Korea , for whom mere survival appears to be the priority .",No,No,Region,country,future,region,past,Past
24,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel and US forces deployed in the <mask> .",No,No,Region,region,field,area,Gulf,past
25,"Iranian Defense and Foreign Ministry officials continue to defend Iran 's right to protect itself from potential threats in the <mask> , while denying any ill intent towards countries such as the United States .",No,No,Region,past,Past,future,region,country
26,"Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea <mask> .",No,No,Regions,Cities,coasts,regions,Ports,Fisheries
27,"Iran has a stockpile of these weapons , including artillery shells and bombs , which could be used in another conflict in the <mask> .",No,No,Region,country,region,past,Gulf,Levant
28,Maintenance and expansion of Sino - Iranian relations naturally constitutes an important component of Chinese strategy in extending its influence to the <mask> .,No,No,Region,Past,south,Gulf,mainland,East
29,"Conversely , the US regards Iran as a rogue state that sponsors international terrorism ( including support for terrorists targeting the United States ) and seeks to subvert US allies in the <mask> .",No,No,Region,region,Gulf,Levant,past,US
30,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel , and US forces deployed in the <mask> .",No,No,Region,region,area,field,country,Gulf
31,Libya claims it will not sign the CWC as long as other countries in the <mask> possess NBC weapons .,No,No,Region,region,Gulf,Horn,Caribbean,Levant
32,"In the 1960s , Ferndale resident Jack Alderson commanded a group of light tugs that made trips to the islands that last week were declared a monument , as well as other remote atolls in the <mask> .",No,No,Region,Caribbean,Gulf,Philippines,Bahamas,Bay
33,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the <mask> by trade and diplomacy .",No,No,Region,region,Mediterranean,Balkans,Caribbean,country
34,"In the wake of this tremendous natural upheaval , the Aegean Islands next came under the influence of the Mycenaeans ( at around 1300 b.c. ) , who had a base in the Peloponnese <mask> of the Greek mainland .",No,No,Region,or,Province,Peninsula,,region
35,"Greece moved in to administer the land , but a new influence upset any grand dreams of making this <mask> a part of greater Greece .",No,No,Region,bed,land,or,rainfall,more
36,One - third of all Hong Kong 's beaches are to be found in a single 14 - km ( 9 - mile ) stretch of this <mask> 's shoreline .,No,No,Region,island,region,summer,City,Province
37,"Further analyses , correcting the number of overall publications for the amount of money invested in research and development for each <mask> , also show that , in contrast to both Canada and United States , the trend in Latin America has been an increase in relative output throughout the 1990s ( Figure 2 ) .",No,No,Region,country,publication,paper,brain,magazine
38,Several forest fires which have ruined well over ten thousand hectares of land are continuing to burn in the Spanish <mask> of Galicia today .,No,No,Region,Province,province,region,Cities,Basin
39,"In southern Greece today , huge forest fires continue to burn on destroying homes and causing severe damage to the <mask> .",No,No,Region,rainfall,fish,bank,brain,climate
40,"The <mask> of the Temple eventually became identified as Mt. Moriah , on which it stood , where Abraham was called to sacrifice his son Isaac .",No,No,Site,width,location,front,roof,site
41,"She found that the city 's most beautiful Roman temple , dedicated to the goddess Aphrodite , stood on the <mask> of the crucifixion .",No,No,Site,back,bed,width,reverse,side
42,"The rock on the Temple Mount from which he ascended , at or close to the <mask> of the ruined Temple , was commemorated by the construction of the Dome of the Rock in 691 .",No,No,Site,base,width,bottom,top,bank
43,"The magnificent frescoes and mosaics found at Akrotiri are in Athens at present , but the remains of the buildings at the <mask> provide ample evidence of the sophistication of the culture here .",No,No,Site,Past,heart,reservoir,moment,bank
44,"Both the Las Vegas Aerial Gunnery School ( which became Nellis Air Force Base and the Nevada Test <mask> ) in the north , and Basic Magnesium in the nearby town of Henderson , arrived in the early 1940s as a result of America 's war effort .",No,No,Site,bed,Range,Track,Station,School
45,"Beyond , in the New Territories , are a mixture of high-rise suburban towns , ancient <mask> and walled villages , country parks , and farms with ducks and fish ponds .",No,No,Sites,,plantations,forests,villages,forest
46,"One of the most interesting <mask> in the New Territories is Tai Fu Tai , another rare survivor , this one a mansion that belonged to a Confucian high official .",No,No,Sites,islands,places,reservoirs,locations,plantations
47,"The highway and the railway stay close together from Fanling , <mask> of the best golf courses in the area .",No,No,Site,one,ne,some,two,part
48,"Sha Tin is the <mask> of the Monastery of 10,000 Buddhas , which looks down on a burgeoning town .",No,No,Site,name,seat,width,headquarters,location
49,"The most famous <mask> on the island is the world 's tallest seated bronze statue of Buddha at 22 m ( 72.6 ft ) , the Tiantan Buddha ( see page 55 ) .",No,No,Site,fish,rainfall,picture,shelf,
50,The hillsides that surround the monastery are the <mask> of Hong Kong 's only tea plantation .,No,No,Site,width,location,home,rest,bed
51,Firefighters reported concern about a tower crane overhanging the building basement <mask> .,No,No,Site,or,shelf,,,food
52,"About 50 per cent of the companies in the <mask> are engaged in manufacturing , 7 per cent in retailing and 16 per cent in distribution , although there is considerable inter-zone variation .",No,No,Zone,region,City,US,province,Province
53,"In Managua , there was some in-migration from rural war <mask> , particularly in the mid- 1980s , straining infrastructure and social services , including education .",No,No,Zones,ords,ucks,s,ocks,ants
54,According to Soviet commentaries the United States ' commitment to these bases underlay its warnings to the ASEAN countries against pursuing the idea of a nuclear-free <mask> in Southeast Asia .,No,No,Zone,food,brain,climate,zone,reservoir
55,This small Caledonian gabbroic intrusion contains ilmenite- and titanomagnetite-enriched <mask> in part of an east-west trending complex close to the contact with an earlier acid granophyre body .,No,No,Zones,rainfall,,soils,soil,or
56,"The heart of Paris , around the Louvre and the Hotel de Ville , would be entirely reorganised with pedestrian <mask> , one-way systems and extra bus routes .",No,No,Zones,crossings,traffic,sed,sation,bridges
57,NOAA-7 covers Japan 's 200-mile ( 370-km ) fishing <mask> five times a day .,No,No,Zone,,line,rights,or,strand
58,There would be freedom of movement between the <mask> and limited settlement rights .,No,No,Zones,bank,brain,shelf,airport,humid
59,Cu -Ni sulphide mineralisation was discovered near Huntly ( Littlemill <mask> ) and Ellon ( Arthrath-Dudwick zone ) in Caledonian norites contaminated by pyritic and graphitic Dalradian sediments .,No,No,Zone,Falls,on,n,w,in
60,Conventional welding gives you a very large heat affected <mask> and that can distort the material or alter its properties in some way and potentially damage or weaken a structure .,No,No,Zone,,bed,tar,chest,width
61,But feminist groups fighting for the right of women soldiers to be in combat <mask> criticised the figures .,No,No,Zones,,or,has,and,also
62,Somerset then cleared a buffer <mask> east of the Fish river ; but a later decision to allow a military settlement there ensured further conflict .,No,No,Zone,,or,zone,bank,chest
63,"Sites would also need to be chosen so that , if wastes did escape , currents would not carry radioactive material too swiftly into <mask> of human activity .",No,No,Zones,reservoirs,pockets,areas,zones,more
64,"During the pressing operation , the first juice to emerge from a grape is called the cuvée and it comes from the central <mask> of pulp .",No,No,Zone,region,piece,bank,area,can
65,"More reference material is to be found in the 1991 Almanac which gives useful charts and lists of celestial events , units of weights , holidays , world time <mask> and so on .",No,No,Zones,,zones,table,,tables
66,An argument-free <mask> was to be established in the Cabinet Room .,No,Yes,Zone,brain,zone,Zone,e,climate
67,The environmental factors which produce arrested larvae in subtropical <mask> are not yet known .,No,No,Zones,climates,climate,soils,rainfall,Ecuador
68,"Now that attitude is changing , most obviously on the West Coast , which has more money than other earthquake <mask> to experiment with new designs and materials .",No,No,Zones,zones,,regions,faults,reservoirs
69,Firms within the <mask> seem to have been doing better than equivalent companies elsewhere .,No,No,Zones,bank,City,US,region,UAE
70,"In 1996 , it had signed the Treaty of Pelindaba which established a nuclear-weapon-free <mask> in Africa .",No,Yes,Zone,climate,zone,shelf,Zone,reservoir
71,North Korea also has placed thousands of artillery systems -- including multiple launch rocket systems that are particularly effective for CW delivery -- within reach of the Demilitarized <mask> ( DMZ ) and Seoul .,Yes,Yes,Zone,Zone,zone,Civilization,Hiroshima,Till
72,A third approach might be a regional effort on the part of Arab states to pressure Iran to abandon sensitive technology and questionable activities in favor of a weapons - free <mask> in the Middle East .,No,Yes,Zone,zone,brain,climate,Zone,shelf
73,"The e-commerce free <mask> is situated in north Dubai , near the industrial free zone in Jebel Ali , the top regional and tenth international leading area in container transit .",No,Yes,Zone,zone,one,older,Zone,ing
74,"The e-commerce free zone is situated in north Dubai , near the industrial free <mask> in Jebel Ali , the top regional and tenth international leading area in container transit .",No,No,Zone,zones,zone,one,ers,alls
75,"He said that it would he possible for the companies working in the electronic trade sector to make Dubai their headquarters , and to establish offices here and provide employment and own machinery in the <mask> opened to companies fully owned by the foreigners .",No,No,Zone,or,past,window,bank,shop
76,"If the location is in a highly dangerous <mask> , then two parallel fences should be built to be 3 meters apart .",No,No,Zone,condition,position,forest,climate,rainfall
77,"During his stay in Iraq , he will visit several places , including hospitals and schools , in Baghdad and southern Iraq , where the U.S. and Britain imposed a no-fly <mask> , with the claimed aim of protecting Shi 'ite Muslims from possible attacks by Iraqi government .",No,Yes,Zone,zone,ban,warning,Zone,r
78,"Bombing targets in the no-fly <mask> in southern and northern Iraq by U.S. and British warplanes have almost become a daily occurrence , causing serious civilian casualties .",No,No,Zones,zones,zone,areas,area,Zone
79,"Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade <mask> which has been named `` Dubai Internet City ''",No,Yes,Zone,,or,zone,Zone,shelf
80,"The electronic trade free trade <mask> is situated in the north of Dubai , close to the free industrial zone in Jabal Ali Mountain , an area which is considered to be the first in the country , and tenth in the world for transit movement .",No,No,Zone,shelf,promotion,or,zone,station
81,"The electronic trade free trade zone is situated in the north of Dubai , close to the free industrial <mask> in Jabal Ali Mountain , an area which is considered to be the first in the country , and tenth in the world for transit movement .",No,No,Zone,zone,zones,bed,park,land
82,Inauguration of free <mask> in Dubai for e-commerce .,No,No,Zone,ers,ing,tables,food,table
83,"Dubai 's Crown Prince Sheikh Mohamed Bin Rashid Al Maktoum inaugurated a free <mask> for e-commerce today , called Dubai Internet City .",No,Yes,Zone,zone,place,area,Zone,food
84,"A Turbo Cat ferry makes a one - hour trip ( 7 am s 7 pm ) from Hong Kong 's Macau Ferry Terminal to Shekou on the Natau Peninsula , which is part of the economic <mask> .",No,No,Zone,zone,stew,district,calendar,crisis
85,"Macau , now the Chinese Special Economic <mask> of Zhuhai , is becoming something like a boomtown as an exporter of toys , furniture , and electronics .",Yes,Yes,Zone,Zone,District,Area,district,Province
